Date,Close
2015-03-12,12.47
2015-03-11,12.20
2015-03-10,12.09
2015-03-09,12.27
2015-03-06,12.31
2015-03-05,12.33
2015-03-04,12.26
2015-03-03,12.32
2015-03-02,12.38
2015-02-27,12.35
2015-02-26,12.40
2015-02-25,12.29
2015-02-24,12.32
2015-02-23,12.26
2015-02-20,12.33
2015-02-19,12.22
2015-02-18,12.13
2015-02-17,11.92
2015-02-13,11.93
2015-02-12,11.79
2015-02-11,11.71
2015-02-10,11.69
2015-02-09,11.54
2015-02-06,11.65
2015-02-05,11.75
2015-02-04,11.65
2015-02-03,11.59
2015-02-02,11.61
2015-01-30,11.49
2015-01-29,11.69
2015-01-28,11.59
2015-01-27,11.61
2015-01-26,11.59
2015-01-23,11.46
2015-01-22,11.50
2015-01-21,11.45
2015-01-20,11.43
2015-01-16,11.34
2015-01-15,11.24
2015-01-14,11.16
2015-01-13,11.18
2015-01-12,11.09
2015-01-09,11.13
2015-01-08,11.25
2015-01-07,11.11
2015-01-06,10.95
2015-01-05,11.13
2015-01-02,11.26
2014-12-31,11.24
2014-12-30,11.30
2014-12-29,11.44
2014-12-26,11.56
2014-12-24,11.48
2014-12-23,11.50
2014-12-22,11.48
2014-12-19,11.51
2014-12-18,11.45
2014-12-17,11.27
2014-12-16,11.15
2014-12-15,11.14
2014-12-12,11.36
2014-12-11,11.47
2014-12-10,11.44
2014-12-09,11.62
2014-12-08,11.56
2014-12-05,11.75
2014-12-04,11.74
2014-12-03,11.77
2014-12-02,11.78
2014-12-01,11.68
2014-11-28,11.62
2014-11-26,11.66
2014-11-25,11.69
2014-11-24,11.66
2014-11-21,11.64
2014-11-20,11.55
2014-11-19,11.67
2014-11-18,11.74
2014-11-17,11.58
2014-11-14,11.77
2014-11-13,11.77
2014-11-12,11.67
2014-11-11,11.73
2014-11-10,11.66
2014-11-07,11.57
2014-11-06,11.61
2014-11-05,11.76
2014-11-04,11.82
2014-11-03,12.14
2014-10-31,12.06
2014-10-30,11.49
2014-10-29,11.40
2014-10-28,11.34
2014-10-27,11.28
2014-10-24,11.26
2014-10-23,11.22
2014-10-22,11.15
2014-10-21,11.14
2014-10-20,11.16
2014-10-17,10.94
2014-10-16,10.89
2014-10-15,10.93
2014-10-14,10.99
