Date,Close
2015-03-10,40.77
2015-03-09,41.74
2015-03-06,41.26
2015-03-05,41.70
2015-03-04,42.02
2015-03-03,42.70
2015-03-02,43.85
2015-02-27,43.76
2015-02-26,43.77
2015-02-25,43.24
2015-02-24,43.50
2015-02-23,42.97
2015-02-20,43.33
2015-02-19,43.06
2015-02-18,43.10
2015-02-17,43.14
2015-02-13,42.98
2015-02-12,42.71
2015-02-11,42.11
2015-02-10,42.13
2015-02-09,41.94
2015-02-06,42.04
2015-02-05,43.01
2015-02-04,43.15
2015-02-03,42.79
2015-02-02,41.94
2015-01-30,41.24
2015-01-29,42.39
2015-01-28,42.11
2015-01-27,42.89
2015-01-26,43.73
2015-01-23,43.75
2015-01-22,43.86
2015-01-21,43.09
2015-01-20,41.76
2015-01-16,42.22
2015-01-15,42.47
2015-01-14,42.05
2015-01-13,42.50
2015-01-12,41.90
2015-01-09,42.28
2015-01-08,42.44
2015-01-07,42.10
2015-01-06,41.02
2015-01-05,41.53
2015-01-02,41.68
2014-12-31,41.62
2014-12-30,40.95
2014-12-29,41.59
2014-12-26,41.68
2014-12-24,40.33
2014-12-23,40.66
2014-12-22,41.25
2014-12-19,40.26
2014-12-18,40.53
2014-12-17,40.34
2014-12-16,39.36
2014-12-15,39.45
2014-12-12,39.56
2014-12-11,40.06
2014-12-10,39.90
2014-12-09,40.29
2014-12-08,41.68
2014-12-05,41.98
2014-12-04,41.51
2014-12-03,40.30
2014-12-02,40.51
2014-12-01,39.54
2014-11-28,40.60
2014-11-26,40.93
2014-11-25,39.69
2014-11-24,40.02
2014-11-21,39.91
2014-11-20,38.49
2014-11-19,38.64
2014-11-18,38.82
2014-11-17,39.25
2014-11-14,40.45
2014-11-13,39.68
2014-11-12,39.45
2014-11-11,39.49
2014-11-10,39.30
2014-11-07,39.28
2014-11-06,39.35
2014-11-05,39.46
2014-11-04,39.77
2014-11-03,39.55
2014-10-31,39.93
2014-10-30,39.45
2014-10-29,39.41
2014-10-28,39.27
2014-10-27,38.10
2014-10-24,38.64
2014-10-23,38.50
2014-10-22,38.26
2014-10-21,38.41
2014-10-20,38.26
2014-10-17,38.24
2014-10-16,37.80
2014-10-15,37.95
2014-10-14,38.11
2014-10-13,38.05
2014-10-10,37.71
2014-10-09,38.38
2014-10-08,39.02
2014-10-07,38.30
2014-10-06,38.63
2014-10-03,38.08
2014-10-02,37.47
2014-10-01,37.46
2014-09-30,38.28
2014-09-29,38.27
2014-09-26,39.19
2014-09-25,39.00
2014-09-24,39.84
2014-09-23,39.08
2014-09-22,39.12
2014-09-19,39.87
2014-09-18,40.28
2014-09-17,40.34
2014-09-16,40.63
2014-09-15,40.37
2014-09-12,40.95
2014-09-11,41.11
2014-09-10,41.25
2014-09-09,41.99
2014-09-08,42.29
2014-09-05,42.52
2014-09-04,42.19
2014-09-03,42.06
2014-09-02,40.71
2014-08-29,40.47
2014-08-28,40.52
2014-08-27,41.02
2014-08-26,41.31
2014-08-25,41.25
2014-08-22,40.89
2014-08-21,40.67
2014-08-20,41.21
2014-08-19,41.43
2014-08-18,41.40
2014-08-15,41.07
2014-08-14,41.02
2014-08-13,41.47
2014-08-12,40.97
2014-08-11,41.04
2014-08-08,40.49
2014-08-07,39.86
2014-08-06,40.21
2014-08-05,40.47
2014-08-04,41.07
2014-08-01,40.72
2014-07-31,40.47
2014-07-30,40.71
2014-07-29,40.95
2014-07-28,41.05
2014-07-25,40.19
2014-07-24,40.12
2014-07-23,39.59
2014-07-22,39.07
2014-07-21,38.21
2014-07-18,38.24
2014-07-17,37.97
2014-07-16,38.52
2014-07-15,38.40
2014-07-14,38.40
2014-07-11,37.90
2014-07-10,37.74
2014-07-09,37.97
2014-07-08,38.15
2014-07-07,38.35
2014-07-03,38.43
2014-07-02,38.02
2014-07-01,37.32
2014-06-30,37.04
2014-06-27,37.21
2014-06-26,37.13
2014-06-25,36.77
2014-06-24,36.70
2014-06-23,37.36
2014-06-20,37.83
2014-06-19,37.93
2014-06-18,38.28
2014-06-17,37.99
2014-06-16,38.02
2014-06-13,38.09
2014-06-12,37.52
2014-06-11,37.62
2014-06-10,37.78
2014-06-09,37.61
2014-06-06,37.24
2014-06-05,37.44
2014-06-04,37.14
2014-06-03,37.45
2014-06-02,37.12
2014-05-30,36.85
2014-05-29,36.66
2014-05-28,36.59
2014-05-27,36.15
2014-05-23,36.34
2014-05-22,36.35
2014-05-21,36.04
2014-05-20,35.55
2014-05-19,35.76
2014-05-16,35.97
2014-05-15,35.57
2014-05-14,35.82
2014-05-13,35.42
2014-05-12,35.32
2014-05-09,34.58
2014-05-08,34.72
2014-05-07,34.61
2014-05-06,34.76
2014-05-05,34.70
2014-05-02,35.00
2014-05-01,34.99
2014-04-30,34.93
2014-04-29,35.07
2014-04-28,34.61
2014-04-25,34.70
2014-04-24,34.98
2014-04-23,34.93
2014-04-22,35.41
2014-04-21,35.59
2014-04-17,35.82
2014-04-16,35.73
2014-04-15,35.29
2014-04-14,36.20
2014-04-11,36.14
2014-04-10,36.68
2014-04-09,36.82
2014-04-08,36.38
2014-04-07,35.81
2014-04-04,35.63
2014-04-03,35.75
2014-04-02,35.84
2014-04-01,35.90
2014-03-31,35.78
2014-03-28,35.83
2014-03-27,35.10
2014-03-26,34.85
2014-03-25,34.77
2014-03-24,34.49
2014-03-21,33.95
2014-03-20,33.00
2014-03-19,33.10
2014-03-18,33.63
2014-03-17,33.07
2014-03-14,33.03
2014-03-13,32.98
2014-03-12,33.81
2014-03-11,33.90
2014-03-10,34.44
2014-03-07,34.99
2014-03-06,35.38
2014-03-05,35.01
2014-03-04,35.36
2014-03-03,34.96
2014-02-28,35.39
2014-02-27,35.78
2014-02-26,34.82
2014-02-25,34.70
2014-02-24,35.31
2014-02-21,35.74
2014-02-20,35.68
2014-02-19,35.98
2014-02-18,35.80
2014-02-14,35.78
2014-02-13,35.47
2014-02-12,35.38
2014-02-11,35.40
