Date,Open,High,Low,Close,Volume,Adj Close
2015-03-12,121.82,123.15,121.74,123.05,40565000,123.05
2015-03-11,120.47,121.14,119.88,121.04,20746400,121.04
2015-03-10,120.61,120.70,119.83,120.30,31859300,120.30
2015-03-09,121.17,121.92,121.12,121.70,17482000,121.70
2015-03-06,121.98,122.69,120.88,121.17,34797200,121.17
2015-03-05,122.53,122.92,121.91,122.72,19679400,122.72
2015-03-04,122.21,122.61,121.61,122.36,21748500,122.36
2015-03-03,123.19,123.19,122.26,122.74,23068400,122.74
2015-03-02,122.55,123.78,122.53,123.47,29683500,123.47
2015-02-27,123.03,123.36,122.55,122.58,23821700,122.58
2015-02-26,122.69,123.30,122.33,123.25,24379000,123.25
2015-02-25,122.57,123.04,122.23,122.80,17059600,122.80
2015-02-24,122.47,123.05,122.19,122.66,20023600,122.66
2015-02-23,122.10,122.53,121.27,122.50,25778200,122.50
2015-02-20,121.85,122.54,120.90,122.38,30331600,122.38
2015-02-19,121.76,122.38,121.54,122.05,16620500,122.05
2015-02-18,121.56,122.05,121.13,122.04,20450200,122.04
2015-02-17,121.66,122.06,121.26,121.91,16868500,121.91
2015-02-13,120.91,121.69,120.65,121.53,20446900,121.53
2015-02-12,120.16,120.92,119.84,120.81,27854600,120.81
2015-02-11,119.37,119.82,118.62,119.45,23794200,119.45
2015-02-10,119.53,119.84,118.10,119.62,28960800,119.62
2015-02-09,119.40,120.22,118.72,118.86,32367900,118.86
2015-02-06,120.10,120.82,119.35,119.81,31121000,119.81
2015-02-05,118.77,120.25,118.60,119.94,32337100,119.94
2015-02-04,118.42,119.24,118.10,118.41,28597100,118.41
2015-02-03,117.33,119.00,117.27,118.85,43920000,118.85
2015-02-02,116.12,116.84,114.38,116.76,44819100,116.76
2015-01-30,117.48,117.96,115.60,115.70,49739800,115.70
2015-01-29,117.02,118.32,116.09,118.30,39299900,118.30
2015-01-28,119.18,119.45,116.32,116.69,38086100,116.69
2015-01-27,117.86,119.25,117.62,118.69,26919100,118.69
2015-01-26,117.88,119.27,117.07,119.26,23006800,119.26
2015-01-23,118.24,118.77,117.55,118.12,28173400,118.12
2015-01-22,116.56,118.24,115.10,118.20,37877000,118.20
2015-01-21,115.80,116.82,115.29,115.84,27333500,115.84
2015-01-20,116.85,117.08,115.16,116.21,36444400,116.21
2015-01-16,114.41,116.94,114.20,116.70,41895700,116.70
2015-01-15,117.23,117.38,114.48,114.83,46199400,114.83
2015-01-14,115.98,117.10,115.55,116.80,34224200,116.80
2015-01-13,118.09,119.39,115.82,117.27,49991400,117.27
2015-01-12,117.70,118.01,116.23,117.18,27316800,117.18
2015-01-09,118.81,118.84,117.31,117.57,26975200,117.57
2015-01-08,117.66,118.85,117.45,118.71,28361700,118.71
2015-01-07,116.06,116.76,115.48,116.73,32252100,116.73
2015-01-06,117.62,117.77,114.36,115.31,67446000,115.31
2015-01-05,118.23,118.71,116.79,117.34,51141900,117.34
2015-01-02,120.07,120.56,117.89,118.93,46133100,118.93
2014-12-31,120.80,121.41,119.54,119.62,35688700,119.62
2014-12-30,120.79,121.24,120.27,120.34,23996000,120.34
2014-12-29,120.63,121.38,120.61,121.05,27692500,121.05
2014-12-26,120.14,120.83,120.07,120.54,18261900,120.54
2014-12-24,119.63,120.07,119.26,119.76,19171800,119.76
2014-12-23,120.44,120.44,119.45,119.86,34533000,119.42
2014-12-22,119.20,119.71,118.80,119.71,27043400,119.27
2014-12-19,118.65,119.48,118.14,118.90,49041800,118.46
2014-12-18,118.46,118.74,117.47,118.63,50779300,118.19
2014-12-17,113.64,116.99,113.49,116.89,70375900,116.46
2014-12-16,113.32,115.34,113.03,113.39,62849700,112.97
2014-12-15,115.26,115.74,113.16,113.55,66361200,113.13
2014-12-12,116.12,116.12,114.60,114.71,44816000,114.28
2014-12-11,116.21,117.68,115.87,116.12,36021800,115.69
2014-12-10,117.74,118.16,115.56,115.66,45314000,115.23
2014-12-09,114.96,118.27,114.74,118.17,52645900,117.73
2014-12-08,117.27,118.37,115.85,116.22,32295000,115.79
2014-12-05,117.25,117.98,116.96,117.69,30261400,117.25
2014-12-04,117.19,117.30,116.22,116.81,28613100,116.38
2014-12-03,116.28,117.71,116.02,117.37,29148000,116.93
2014-12-02,114.99,116.64,114.98,116.25,30674400,115.82
2014-12-01,116.32,116.47,114.81,114.87,36244100,114.44
2014-11-28,118.48,118.52,116.57,116.69,21110700,116.26
2014-11-26,118.07,118.50,117.84,118.45,14635200,118.01
2014-11-25,118.22,118.78,117.53,118.06,26745700,117.62
2014-11-24,116.74,118.05,116.58,117.97,24572600,117.53
2014-11-21,118.08,118.12,116.16,116.58,43240300,116.15
2014-11-20,114.62,116.46,114.62,116.44,26555000,116.01
2014-11-19,116.25,116.25,114.37,115.15,38255300,114.72
2014-11-18,116.16,117.12,115.75,116.39,33717200,115.96
2014-11-17,116.59,116.93,115.68,115.72,29846500,115.29
2014-11-14,116.94,117.21,116.37,116.69,23321200,116.26
2014-11-13,117.94,118.25,116.62,116.90,25135000,116.47
2014-11-12,116.69,118.08,116.66,117.90,34593000,117.46
2014-11-11,117.12,117.44,116.87,117.37,23535500,116.93
2014-11-10,116.68,117.31,116.46,117.29,29371800,116.85
2014-11-07,116.39,116.71,115.70,116.71,28657700,116.28
2014-11-06,115.98,116.53,115.56,116.53,31720900,116.10
2014-11-05,116.67,116.74,115.55,116.03,31073500,115.60
2014-11-04,115.90,116.50,115.28,115.82,37347600,115.39
2014-11-03,116.75,117.37,115.90,116.36,39729600,115.93
2014-10-31,116.91,116.96,115.88,116.56,53133300,116.13
2014-10-30,113.49,115.38,113.14,114.87,59046200,114.44
2014-10-29,114.36,114.89,112.98,113.90,67133500,113.48
2014-10-28,111.51,114.21,111.30,114.17,84912900,113.75
2014-10-27,110.42,111.09,109.51,111.01,31133700,110.60
2014-10-24,110.92,111.32,110.44,111.07,41927400,110.66
2014-10-23,110.04,111.58,109.77,110.88,60795100,110.47
2014-10-22,110.80,111.06,108.86,108.95,48798300,108.55
2014-10-21,109.33,110.59,109.01,110.53,44748100,110.12
2014-10-20,107.01,108.74,107.00,108.74,34914400,108.34
2014-10-17,109.16,109.22,107.04,107.48,72675000,107.08
2014-10-16,105.15,108.57,104.95,107.80,100532300,107.40
2014-10-15,104.19,107.00,103.54,106.60,117497300,106.20
2014-10-14,105.23,106.99,104.86,105.54,70034800,105.15
2014-10-13,104.84,106.11,103.86,104.32,72054300,103.93
2014-10-10,105.77,106.89,104.59,104.74,66579500,104.35
2014-10-09,108.89,108.90,106.01,106.03,60783400,105.64
2014-10-08,106.68,109.04,105.76,108.97,51589200,108.57
2014-10-07,108.02,108.50,106.85,106.92,40271900,106.52
2014-10-06,109.95,110.07,108.51,108.71,35571200,108.31
2014-10-03,109.75,110.32,109.08,109.65,44034600,109.24
2014-10-02,107.79,109.28,106.94,108.83,71825900,108.43
2014-10-01,109.29,109.39,107.43,107.80,88621100,107.40
2014-09-30,110.92,111.03,109.31,109.35,55596900,108.94
2014-09-29,109.82,111.35,109.72,111.03,30619000,110.62
2014-09-26,110.55,111.22,110.20,111.12,26473300,110.71
2014-09-25,111.73,111.83,109.75,110.13,49733600,109.72
2014-09-24,111.15,112.11,110.60,112.02,34323100,111.60
