Date,Close
2015-03-12,123.05
2015-03-11,121.04
2015-03-10,120.30
2015-03-09,121.70
2015-03-06,121.17
2015-03-05,122.72
2015-03-04,122.36
2015-03-03,122.74
2015-03-02,123.47
2015-02-27,122.58
2015-02-26,123.25
2015-02-25,122.80
2015-02-24,122.66
2015-02-23,122.50
2015-02-20,122.38
2015-02-19,122.05
2015-02-18,122.04
2015-02-17,121.91
2015-02-13,121.53
2015-02-12,120.81
2015-02-11,119.45
2015-02-10,119.62
2015-02-09,118.86
2015-02-06,119.81
2015-02-05,119.94
2015-02-04,118.41
2015-02-03,118.85
2015-02-02,116.76
2015-01-30,115.70
2015-01-29,118.30
2015-01-28,116.69
2015-01-27,118.69
2015-01-26,119.26
2015-01-23,118.12
2015-01-22,118.20
2015-01-21,115.84
2015-01-20,116.21
2015-01-16,116.70
2015-01-15,114.83
2015-01-14,116.80
2015-01-13,117.27
2015-01-12,117.18
2015-01-09,117.57
2015-01-08,118.71
2015-01-07,116.73
2015-01-06,115.31
2015-01-05,117.34
2015-01-02,118.93
2014-12-31,119.62
2014-12-30,120.34
2014-12-29,121.05
2014-12-26,120.54
2014-12-24,119.76
2014-12-23,119.86
2014-12-22,119.71
2014-12-19,118.90
2014-12-18,118.63
2014-12-17,116.89
2014-12-16,113.39
2014-12-15,113.55
2014-12-12,114.71
2014-12-11,116.12
2014-12-10,115.66
2014-12-09,118.17
2014-12-08,116.22
2014-12-05,117.69
2014-12-04,116.81
2014-12-03,117.37
2014-12-02,116.25
2014-12-01,114.87
2014-11-28,116.69
2014-11-26,118.45
2014-11-25,118.06
2014-11-24,117.97
2014-11-21,116.58
2014-11-20,116.44
2014-11-19,115.15
2014-11-18,116.39
2014-11-17,115.72
2014-11-14,116.69
2014-11-13,116.90
2014-11-12,117.90
2014-11-11,117.37
2014-11-10,117.29
2014-11-07,116.71
2014-11-06,116.53
2014-11-05,116.03
2014-11-04,115.82
2014-11-03,116.36
2014-10-31,116.56
2014-10-30,114.87
2014-10-29,113.90
2014-10-28,114.17
2014-10-27,111.01
2014-10-24,111.07
2014-10-23,110.88
2014-10-22,108.95
2014-10-21,110.53
2014-10-20,108.74
2014-10-17,107.48
2014-10-16,107.80
2014-10-15,106.60
2014-10-14,105.54
2014-10-13,104.32
2014-10-10,104.74
2014-10-09,106.03
2014-10-08,108.97
2014-10-07,106.92
2014-10-06,108.71
2014-10-03,109.65
2014-10-02,108.83
2014-10-01,107.80
2014-09-30,109.35
2014-09-29,111.03
2014-09-26,111.12
2014-09-25,110.13
2014-09-24,112.02
2014-09-23,111.32
2014-09-22,112.37
2014-09-19,113.97
2014-09-18,115.43
2014-09-17,114.73
2014-09-16,114.43
2014-09-15,114.11
2014-09-12,115.37
2014-09-11,116.61
2014-09-10,115.86
2014-09-09,115.18
2014-09-08,116.56
2014-09-05,116.38
2014-09-04,116.01
2014-09-03,116.46
2014-09-02,117.20
2014-08-29,116.56
2014-08-28,115.91
2014-08-27,116.51
2014-08-26,116.80
2014-08-25,115.75
2014-08-22,115.21
2014-08-21,115.20
2014-08-20,114.95
2014-08-19,115.44
2014-08-18,115.04
2014-08-15,113.39
2014-08-14,113.61
2014-08-13,113.44
2014-08-12,112.56
2014-08-11,113.34
2014-08-08,112.27
2014-08-07,111.19
2014-08-06,111.73
2014-08-05,111.38
2014-08-04,111.66
2014-08-01,110.68
2014-07-31,111.19
2014-07-30,113.79
2014-07-29,113.34
2014-07-28,113.03
2014-07-25,113.60
2014-07-24,114.64
2014-07-23,114.87
2014-07-22,114.73
2014-07-21,113.77
2014-07-18,114.23
2014-07-17,112.48
2014-07-16,114.24
2014-07-15,114.55
2014-07-14,115.69
2014-07-11,115.10
2014-07-10,115.25
2014-07-09,116.49
2014-07-08,116.34
2014-07-07,117.77
2014-07-03,119.82
