Date,Open,High,Low,Close,Volume,Adj Close
2015-03-12,271.51,273.61,271.41,273.22,1533000,273.22
2015-03-11,268.96,270.29,267.87,270.24,1321600,270.24
2015-03-10,269.30,269.75,268.17,268.27,1445400,268.27
2015-03-09,271.24,272.17,271.13,271.69,1749500,271.69
2015-03-06,272.71,273.46,270.19,270.72,1124800,270.72
2015-03-05,274.13,274.41,273.12,274.15,777300,274.15
2015-03-04,273.90,274.14,272.44,273.74,1145500,273.74
2015-03-03,275.52,276.00,273.76,274.78,1405800,274.78
2015-03-02,274.41,276.38,274.25,276.30,1996800,276.30
2015-02-27,274.99,275.58,274.14,274.20,1749200,274.20
2015-02-26,275.94,276.06,274.47,275.29,1072200,275.29
2015-02-25,275.93,276.71,275.34,276.03,1687400,276.03
2015-02-24,275.78,276.45,275.02,276.34,1619300,276.34
2015-02-23,275.39,275.99,274.31,275.99,1479800,275.99
2015-02-20,273.66,276.08,272.22,275.97,3149900,275.97
2015-02-19,273.62,274.71,273.07,274.01,1922700,274.01
2015-02-18,272.81,274.39,272.50,274.30,1491800,274.30
2015-02-17,273.37,274.04,272.23,273.45,1788800,273.45
2015-02-13,272.03,273.52,271.71,273.50,2024600,273.50
2015-02-12,270.61,272.13,269.94,271.74,3121000,271.74
2015-02-11,269.04,269.98,267.80,269.21,1490000,269.21
2015-02-10,268.71,269.56,266.43,269.37,1514600,269.37
2015-02-09,267.60,268.91,266.79,267.13,1057400,267.13
2015-02-06,269.99,270.33,267.62,268.56,1583000,268.56
2015-02-05,267.84,269.70,267.26,269.57,1656500,269.57
2015-02-04,266.81,268.21,266.27,266.79,1850000,266.79
2015-02-03,264.56,268.03,264.11,267.89,2150100,267.89
2015-02-02,261.90,263.34,258.02,263.06,2797900,263.06
2015-01-30,262.86,263.86,260.72,261.07,2926100,261.07
2015-01-29,262.72,264.85,260.83,264.60,1748800,264.60
2015-01-28,267.38,267.88,262.02,262.64,2276700,262.64
2015-01-27,264.54,267.00,263.74,265.88,1441900,265.88
2015-01-26,264.46,267.69,263.48,267.69,1687300,267.69
2015-01-23,265.77,266.22,264.43,264.56,1377500,264.56
2015-01-22,262.77,265.92,260.23,265.92,1791000,265.92
2015-01-21,258.63,261.56,258.15,261.05,1804700,261.05
2015-01-20,260.59,261.37,257.33,259.49,1181700,259.49
2015-01-16,255.61,260.35,255.55,259.98,1643400,259.98
2015-01-15,260.31,260.69,256.19,256.41,999000,256.41
2015-01-14,257.04,259.59,256.33,259.29,2195200,259.29
2015-01-13,262.17,265.04,257.75,260.36,2493200,260.36
2015-01-12,262.27,262.80,259.13,260.48,1127200,260.48
2015-01-09,264.55,264.62,261.12,261.88,1405400,261.88
