cdate,cp,pctlead,pctlag1,pctlag2,pctlag4,pctlag8
2015-03-12,12.470,0.000,2.213,3.143,1.300,0.727
2015-03-11,12.200,2.213,0.910,-0.570,-1.054,-1.215
2015-03-10,12.090,0.910,-1.467,-1.787,-1.387,-2.500
2015-03-09,12.270,-1.467,-0.325,-0.487,-0.406,-0.163
2015-03-06,12.310,-0.325,-0.162,0.408,-0.565,-0.081
2015-03-05,12.330,-0.162,0.571,0.081,-0.162,0.571
2015-03-04,12.260,0.571,-0.487,-0.969,-1.129,-0.568
2015-03-03,12.320,-0.487,-0.485,-0.243,0.244,0.818
2015-03-02,12.380,-0.485,0.243,-0.161,0.487,2.061
2015-02-27,12.350,0.243,-0.403,0.488,0.734,3.607
2015-02-26,12.400,-0.403,0.895,0.649,0.568,3.940
2015-02-25,12.290,0.895,-0.244,0.245,0.573,4.241
2015-02-24,12.320,-0.244,0.489,-0.081,1.566,5.209
2015-02-23,12.260,0.489,-0.568,0.327,2.852,4.876
2015-02-20,12.330,-0.568,0.900,1.649,3.353,6.846
2015-02-19,12.220,0.900,0.742,2.517,3.647,4.893
2015-02-18,12.130,0.742,1.762,1.676,3.587,3.234
2015-02-17,11.920,1.762,-0.084,1.103,1.967,2.318
2015-02-13,11.930,-0.084,1.187,1.879,3.380,2.934
2015-02-12,11.790,1.187,0.683,0.855,1.202,1.550
2015-02-11,11.710,0.683,0.171,1.473,-0.340,1.915
2015-02-10,11.690,0.171,1.300,0.343,0.343,0.000
2015-02-09,11.540,1.300,-0.944,-1.787,-0.431,-0.431
2015-02-06,11.650,-0.944,-0.851,0.000,0.345,0.345
2015-02-05,11.750,-0.851,0.858,1.381,2.263,1.381
2015-02-04,11.650,0.858,0.518,0.345,-0.342,1.658
2015-02-03,11.590,0.518,-0.172,0.870,0.000,0.783
2015-02-02,11.610,-0.172,1.044,-0.684,0.000,1.397
2015-01-30,11.490,1.044,-1.711,-0.863,-0.863,0.525
2015-01-29,11.690,-1.711,0.863,0.689,2.007,3.086
2015-01-28,11.590,0.863,-0.172,0.000,0.783,3.114
2015-01-27,11.610,-0.172,0.173,1.309,1.397,4.032
2015-01-26,11.590,0.173,1.134,0.783,1.400,3.667
2015-01-23,11.460,1.134,-0.348,0.087,1.058,3.336
2015-01-22,11.500,-0.348,0.437,0.612,2.313,3.324
2015-01-21,11.450,0.437,0.175,0.970,2.599,1.778
2015-01-20,11.430,0.175,0.794,1.690,2.236,2.880
2015-01-16,11.340,0.794,0.890,1.613,2.254,3.562
2015-01-15,11.240,0.890,0.717,0.537,0.988,0.988
2015-01-14,11.160,0.717,-0.179,0.631,-0.800,-0.888
2015-01-13,11.180,-0.179,0.812,0.449,0.630,-0.534
2015-01-12,11.090,0.812,-0.359,-1.422,1.279,-1.858
2015-01-09,11.130,-0.359,-1.067,0.180,0.000,-2.710
2015-01-08,11.250,-1.067,1.260,2.740,-0.089,-2.682
2015-01-07,11.110,1.260,1.461,-0.180,-1.157,-3.223
2015-01-06,10.950,1.461,-1.617,-2.753,-3.097,-4.783
2015-01-05,11.130,-1.617,-1.155,-0.979,-2.710,-3.049
2015-01-02,11.260,-1.155,0.178,-0.354,-2.595,-2.172
2014-12-31,11.240,0.178,-0.531,-1.748,-2.091,-1.834
2014-12-30,11.300,-0.531,-1.224,-2.249,-1.739,0.266
2014-12-29,11.440,-1.224,-1.038,-0.348,-0.348,2.601
2014-12-26,11.560,-1.038,0.697,0.522,0.434,3.770
