Date,Open,High,Low,Close,Volume,Adj Close
2015-03-17,63.48,63.73,63.30,63.64,16146200,63.64
2015-03-16,63.53,63.90,63.50,63.80,15828600,63.80
2015-03-13,62.95,63.14,62.69,63.09,16053200,63.09
2015-03-12,63.40,63.48,63.13,63.46,15999100,63.46
2015-03-11,62.63,62.82,62.39,62.68,19908400,62.68
2015-03-10,62.86,62.98,62.49,62.52,20859200,62.52
2015-03-09,63.78,63.99,63.71,63.91,11898600,63.91
2015-03-06,64.18,64.32,63.75,63.81,23373700,63.81
2015-03-05,64.74,64.89,64.57,64.69,12811900,64.69
2015-03-04,64.44,64.59,64.08,64.54,15351100,64.54
2015-03-03,64.96,65.05,64.63,64.80,12564400,64.80
2015-03-02,65.08,65.22,64.97,65.20,21297800,65.20
2015-02-27,65.13,65.35,65.03,65.10,22960900,65.10
2015-02-26,65.10,65.24,64.93,65.07,12791000,65.07
2015-02-25,65.10,65.33,65.02,65.25,10224800,65.25
2015-02-24,64.78,65.29,64.66,65.20,16373400,65.20
2015-02-23,64.68,64.91,64.63,64.80,13630900,64.80
2015-02-20,64.24,65.27,64.13,65.03,34658700,65.03
2015-02-19,64.35,64.67,64.31,64.43,17091000,64.43
2015-02-18,64.16,64.54,64.04,64.35,16777800,64.35
2015-02-17,63.70,64.10,63.54,63.97,13660300,63.97
2015-02-13,63.66,63.84,63.65,63.82,17919100,63.82
2015-02-12,62.86,63.41,62.86,63.40,16664600,63.40
2015-02-11,62.36,62.56,62.12,62.43,16405400,62.43
2015-02-10,62.59,62.82,62.31,62.77,14302500,62.77
2015-02-09,61.99,62.38,61.99,62.20,15940500,62.20
2015-02-06,62.69,62.90,62.32,62.50,18404500,62.50
2015-02-05,62.84,63.30,62.76,63.29,23933500,63.29
2015-02-04,62.62,62.95,62.38,62.43,17454200,62.43
2015-02-03,62.34,63.06,62.32,62.95,27679400,62.95
2015-02-02,61.63,62.10,61.46,61.96,24878700,61.96
2015-01-30,61.59,61.81,61.20,61.22,39271000,61.22
2015-01-29,61.89,62.25,61.67,62.20,31207900,62.20
2015-01-28,62.31,62.38,61.33,61.36,20033100,61.36
2015-01-27,62.07,62.42,61.93,62.29,20064300,62.29
2015-01-26,61.86,62.34,61.70,62.20,18463300,62.20
2015-01-23,61.60,61.77,61.34,61.36,19495700,61.36
2015-01-22,61.30,61.87,61.17,61.71,15610400,61.71
2015-01-21,60.98,61.50,60.89,61.48,26882500,61.48
2015-01-20,61.27,61.31,60.76,61.00,19318000,61.00
2015-01-16,60.08,60.84,59.99,60.79,29675500,60.79
2015-01-15,60.35,60.41,59.86,60.01,21884100,60.01
2015-01-14,59.51,59.75,59.22,59.63,16051900,59.63
2015-01-13,60.24,60.39,59.38,59.80,15393700,59.80
2015-01-12,59.71,59.76,59.21,59.50,18559600,59.50
2015-01-09,60.00,60.00,59.34,59.64,17936700,59.64
2015-01-08,59.49,60.14,59.46,59.93,16680000,59.93
2015-01-07,58.95,59.23,58.57,59.13,19048900,59.13
2015-01-06,59.10,59.31,58.29,58.48,21711600,58.48
2015-01-05,59.73,59.78,59.00,59.15,28468200,59.15
2015-01-02,61.05,61.13,60.46,60.58,24674800,60.58
2014-12-31,61.45,61.46,60.81,60.84,22495000,60.84
2014-12-30,61.44,61.50,61.20,61.22,20271600,61.22
2014-12-29,61.71,62.01,61.70,61.79,22005600,61.79
2014-12-26,62.27,62.35,62.19,62.24,17681100,62.24
2014-12-24,61.88,62.22,61.78,62.08,12370700,62.08
2014-12-23,61.87,61.95,61.71,61.80,21929200,61.80
2014-12-22,61.97,62.04,61.75,62.00,24782500,62.00
2014-12-19,61.47,61.88,61.33,61.70,29690700,61.70
2014-12-18,61.22,61.70,61.12,61.61,32254900,61.61
2014-12-17,60.02,60.96,59.99,60.53,28795300,60.53
2014-12-16,60.02,61.16,59.92,60.40,38250500,59.81
2014-12-15,61.16,61.26,59.78,59.97,38599900,59.39
2014-12-12,62.01,62.12,60.94,60.98,31169600,60.39
2014-12-11,62.36,62.68,62.11,62.18,19542600,61.58
2014-12-10,62.90,62.90,62.16,62.26,26910700,61.66
2014-12-09,62.81,63.11,62.62,63.06,18136300,62.45
2014-12-08,63.59,63.71,63.35,63.40,14580900,62.79
2014-12-05,63.98,64.16,63.81,63.96,13947000,63.34
2014-12-04,63.86,64.09,63.61,63.82,18283500,63.20
2014-12-03,63.95,64.09,63.86,64.03,10722400,63.41
2014-12-02,64.06,64.13,63.92,64.11,19347400,63.49
2014-12-01,64.03,64.08,63.73,63.93,14827800,63.31
2014-11-28,64.10,64.16,63.94,63.99,8429300,63.37
2014-11-26,64.34,64.54,64.24,64.51,9788000,63.89
2014-11-25,64.16,64.33,64.02,64.26,18289600,63.64
2014-11-24,64.06,64.16,63.93,64.15,16662600,63.53
