Date,Open,High,Low,Close,Volume,Adj Close
2015-03-17,41.96,42.51,41.92,42.42,14410400,42.42
2015-03-16,42.17,42.29,42.08,42.24,15853600,42.24
2015-03-13,41.53,41.58,41.27,41.49,10018000,41.49
2015-03-12,41.52,41.57,41.19,41.28,22141400,41.28
2015-03-11,40.86,40.98,40.72,40.87,16059200,40.87
2015-03-10,40.94,40.94,40.64,40.77,28169300,40.77
2015-03-09,41.69,41.92,41.65,41.74,14517000,41.74
2015-03-06,41.53,41.57,41.10,41.26,20510500,41.26
2015-03-05,41.81,41.90,41.59,41.70,13445700,41.70
2015-03-04,42.08,42.09,41.77,42.02,16799200,42.02
2015-03-03,42.80,42.83,42.55,42.70,15854900,42.70
2015-03-02,43.61,43.90,43.54,43.85,11829300,43.85
2015-02-27,43.81,43.96,43.72,43.76,10250300,43.76
2015-02-26,43.75,43.83,43.66,43.77,11653900,43.77
2015-02-25,43.30,43.40,43.19,43.24,10458900,43.24
2015-02-24,43.22,43.68,43.14,43.50,14411700,43.50
2015-02-23,43.19,43.25,42.88,42.97,13024900,42.97
2015-02-20,43.02,43.36,42.89,43.33,14538400,43.33
2015-02-19,42.95,43.23,42.89,43.06,5328200,43.06
2015-02-18,43.11,43.24,42.92,43.10,6969800,43.10
2015-02-17,43.20,43.28,42.97,43.14,9907700,43.14
2015-02-13,42.90,43.09,42.90,42.98,11988900,42.98
2015-02-12,42.55,42.80,42.48,42.71,11386300,42.71
2015-02-11,41.93,42.18,41.80,42.11,12236800,42.11
2015-02-10,42.24,42.30,42.00,42.13,8972900,42.13
2015-02-09,41.97,42.19,41.87,41.94,9099600,41.94
2015-02-06,42.19,42.37,42.00,42.04,13035300,42.04
2015-02-05,42.77,43.10,42.67,43.01,10307400,43.01
2015-02-04,43.56,43.77,43.12,43.15,24330200,43.15
2015-02-03,42.37,42.89,42.37,42.79,22931600,42.79
2015-02-02,41.71,42.05,41.60,41.94,19250100,41.94
2015-01-30,41.83,41.96,41.20,41.24,29188900,41.24
2015-01-29,42.37,42.47,41.87,42.39,11986300,42.39
2015-01-28,42.60,42.62,42.06,42.11,16560700,42.11
2015-01-27,42.63,43.01,42.57,42.89,16362600,42.89
2015-01-26,43.60,43.85,43.52,43.73,9732300,43.73
2015-01-23,43.68,43.89,43.68,43.75,11296200,43.75
2015-01-22,43.30,43.88,43.10,43.86,20535600,43.86
2015-01-21,42.55,43.16,42.51,43.09,19692600,43.09
2015-01-20,41.75,41.82,41.60,41.76,18603600,41.76
2015-01-16,41.78,42.25,41.73,42.22,22975600,42.22
2015-01-15,42.92,43.02,42.43,42.47,15123900,42.47
2015-01-14,42.08,42.30,41.79,42.05,17435200,42.05
2015-01-13,42.66,42.85,41.98,42.50,21635400,42.50
2015-01-12,42.33,42.37,41.85,41.90,11738800,41.90
2015-01-09,42.59,42.63,42.16,42.28,17965900,42.28
2015-01-08,42.36,42.61,42.32,42.44,14266300,42.44
2015-01-07,41.96,42.16,41.74,42.10,21729100,42.10
2015-01-06,41.50,41.61,40.82,41.02,23651100,41.02
2015-01-05,41.97,41.99,41.42,41.53,19953500,41.53
2015-01-02,42.12,42.15,41.63,41.68,15879100,41.68
2014-12-31,41.82,41.85,41.55,41.62,11848300,41.62
2014-12-30,41.00,41.17,40.92,40.95,12876900,40.95
2014-12-29,41.67,41.79,41.56,41.59,11797200,41.59
