cdate,cp,pctlead,pctlag1,pctlag2,pctlag4,pctlag8
2015-03-18,64.940,0.000,2.043,1.787,2.332,1.771
2015-03-17,63.640,2.043,-0.251,0.872,1.532,-1.623
2015-03-16,63.800,-0.251,1.125,0.536,2.047,-1.147
2015-03-13,63.090,1.125,-0.583,0.654,-1.283,-2.639
2015-03-12,63.460,-0.583,1.244,1.504,-0.549,-2.669
2015-03-11,62.680,1.244,0.256,-1.925,-3.107,-3.717
2015-03-10,62.520,0.256,-2.175,-2.022,-3.130,-3.919
2015-03-09,63.910,-2.175,0.157,-1.206,-1.373,-2.054
2015-03-06,63.810,0.157,-1.360,-1.131,-2.132,-2.132
2015-03-05,64.690,-1.360,0.232,-0.170,-0.630,-0.170
2015-03-04,64.540,0.232,-0.401,-1.012,-0.815,-0.753
2015-03-03,64.800,-0.401,-0.613,-0.461,-0.690,0.574
2015-03-02,65.200,-0.613,0.154,0.200,0.000,1.321
2015-02-27,65.100,0.154,0.046,-0.230,0.463,1.766
2015-02-26,65.070,0.046,-0.276,-0.199,0.062,1.959
2015-02-25,65.250,-0.276,0.077,0.694,1.273,2.918
2015-02-24,65.200,0.077,0.617,0.261,1.321,4.437
2015-02-23,64.800,0.617,-0.354,0.574,1.297,3.234
2015-02-20,65.030,-0.354,0.931,1.057,1.896,4.550
2015-02-19,64.430,0.931,0.124,0.719,1.625,3.088
2015-02-18,64.350,0.124,0.594,0.830,3.075,1.675
2015-02-17,63.970,0.594,0.235,0.899,1.912,2.467
2015-02-13,63.820,0.235,0.662,2.226,2.605,1.382
2015-02-12,63.400,0.662,1.554,1.004,1.440,2.324
2015-02-11,62.430,1.554,-0.542,0.370,-1.359,1.976
2015-02-10,62.770,-0.542,0.916,0.432,0.545,0.916
2015-02-09,62.200,0.916,-0.480,-1.722,-1.191,1.369
2015-02-06,62.500,-0.480,-1.248,0.112,0.872,0.337
2015-02-05,63.290,-1.248,1.378,0.540,3.381,1.752
2015-02-04,62.430,1.378,-0.826,0.759,0.370,1.744
2015-02-03,62.950,-0.826,1.598,2.826,2.591,2.009
2015-02-02,61.960,1.598,1.209,-0.386,-0.530,0.781
2015-01-30,61.220,1.209,-1.576,-0.228,-1.576,0.361
2015-01-29,62.200,-1.576,1.369,-0.144,1.369,2.319
2015-01-28,61.360,1.369,-1.493,-1.350,-0.567,2.250
2015-01-27,62.290,-1.493,0.145,1.516,1.318,4.461
2015-01-26,62.200,0.145,1.369,0.794,1.967,4.013
2015-01-23,61.360,1.369,-0.567,-0.195,0.938,3.126
2015-01-22,61.710,-0.567,0.374,1.164,2.833,3.471
2015-01-21,61.480,0.374,0.787,1.135,3.102,2.586
2015-01-20,61.000,0.787,0.345,1.650,2.007,3.163
2015-01-16,60.790,0.345,1.300,1.945,2.168,3.950
2015-01-15,60.010,1.300,0.637,0.351,0.620,1.454
2015-01-14,59.630,0.637,-0.284,0.218,-0.501,-1.568
2015-01-13,59.800,-0.284,0.504,0.268,1.133,-1.709
2015-01-12,59.500,0.504,-0.235,-0.718,1.744,-2.810
2015-01-09,59.640,-0.235,-0.484,0.863,0.828,-3.480
2015-01-08,59.930,-0.484,1.353,2.479,-1.073,-3.711
2015-01-07,59.130,1.353,1.111,-0.034,-2.811,-4.752
2015-01-06,58.480,1.111,-1.133,-3.466,-4.476,-5.372
2015-01-05,59.150,-1.133,-2.361,-2.778,-4.273,-4.597
2015-01-02,60.580,-2.361,-0.427,-1.045,-2.667,-1.815
2014-12-31,60.840,-0.427,-0.621,-1.537,-1.997,-1.250
2014-12-30,61.220,-0.621,-0.922,-1.639,-0.939,1.140
2014-12-29,61.790,-0.922,-0.723,-0.467,-0.339,2.301
2014-12-26,62.240,-0.723,0.258,0.712,0.875,3.785
2014-12-24,62.080,0.258,0.453,0.129,0.763,1.804
2014-12-23,61.800,0.453,-0.323,0.162,2.098,-0.611
2014-12-22,62.000,-0.323,0.486,0.633,2.649,-0.418
2014-12-19,61.700,0.486,0.146,1.933,2.885,-2.157
2014-12-18,61.610,0.146,1.784,2.003,1.033,-2.823
2014-12-17,60.530,1.784,0.215,0.934,-2.654,-5.363
2014-12-16,60.400,0.215,0.717,-0.951,-2.987,-5.359
2014-12-15,59.970,0.717,-1.656,-3.554,-4.900,-6.341
