cdate,cp,pctlead,dow,dom,moy,eem4,eem5,eem6,eem7,efa4,efa5,efa6,efa7,ewj4,ewj5,ewj6,ewj7,fxi4,fxi5,fxi6,fxi7,gld4,gld5,gld6,gld7,iwm4,iwm5,iwm6,iwm7,mdy4,mdy5,mdy6,mdy7,tlt4,tlt5,tlt6,tlt7,xom4,xom5,xom6,xom7,gspc4,gspc5,gspc6,gspc7
2015-03-18,2105.28,0.0,3,18,03,2.219,3.406,3.379,2.089,2.043,1.787,2.332,1.771,1.592,1.836,2.326,3.656,1.603,2.036,4.409,4.46,1.724,1.173,1.255,0.223,0.801,1.07,1.3,2.872,1.082,1.27,1.867,2.807,1.798,2.642,3.312,6.332,2.284,1.463,2.114,0.432,1.494,1.158,1.904,1.642
2015-03-17,2074.28,1.494,2,17,03,1.161,2.376,1.765,-1.655,-0.251,0.872,1.532,-1.623,0.239,0.641,2.951,1.865,0.426,2.242,3.793,1.727,-0.541,-0.604,-0.488,-4.165,0.268,0.856,2.165,0.766,0.186,1.381,1.887,0.434,0.829,1.799,1.415,2.146,-0.802,0.25,0.071,-3.067,-0.332,1.017,1.668,-1.274
2015-03-16,2081.19,-0.332,1,16,03,1.201,-0.026,1.36,-2.93,1.125,0.536,2.047,-1.147,0.401,0.481,3.639,2.202,1.808,2.326,3.606,0.524,-0.063,0.081,-0.547,-3.736,0.587,0.228,2.519,0.793,1.193,0.589,2.445,0.398,0.963,0.653,1.315,1.178,1.061,0.641,0.593,-2.776,1.353,0.738,1.812,-0.826
2015-03-13,2053.4,1.353,5,13,03,-1.212,-0.597,-2.071,-5.128,-0.583,0.654,-1.283,-2.639,0.08,2.295,1.711,1.299,0.509,1.517,-0.599,-2.834,0.145,0.117,-0.973,-3.975,-0.358,1.297,0.748,-0.106,-0.597,0.5,-0.037,-1.161,-0.307,-0.377,1.669,0.245,-0.416,-0.179,-1.515,-4.28,-0.607,0.645,-1.252,-2.58
2015-03-12,2065.95,-0.607,4,12,03,0.623,1.386,-1.248,-4.695,1.244,1.504,-0.549,-2.669,2.213,3.143,1.3,0.727,1.003,1.251,0.048,-5.861,-0.027,-0.628,-1.019,-4.288,1.661,2.286,1.552,-0.34,1.103,1.845,0.923,-1.115,-0.071,0.657,2.923,0.189,0.238,-0.047,-1.647,-4.339,1.26,1.066,-0.256,-2.429
2015-03-11,2040.24,1.26,3,11,03,0.758,-1.483,-3.361,-5.425,0.256,-1.925,-3.107,-3.717,0.91,-0.57,-1.054,-1.215,0.245,-2.084,-1.99,-6.604,-0.601,-1.09,-3.696,-4.657,0.615,-0.542,-1.369,-1.256,0.734,-0.534,-1.426,-1.444,0.729,2.054,0.721,-1.799,-0.285,-1.339,-3.136,-5.105,-0.192,-1.885,-2.894,-3.053
2015-03-10,2044.16,-0.192,2,10,03,-2.224,-2.598,-4.232,-6.206,-2.175,-2.022,-3.13,-3.919,-1.467,-1.787,-1.387,-2.5,-2.324,-1.188,-2.975,-6.854,-0.491,-0.393,-3.206,-4.006,-1.15,-0.718,-1.684,-2.394,-1.259,-0.905,-1.998,-2.55,1.316,2.251,-0.134,-1.689,-1.057,-1.6,-3.349,-4.952,-1.696,-1.308,-2.591,-3.154
2015-03-09,2079.43,-1.696,1,09,03,-0.382,-1.906,-3.121,-4.048,0.157,-1.206,-1.373,-2.054,-0.325,-0.487,-0.406,-0.163,1.163,0.096,-2.248,-3.469,0.098,-2.635,-3.031,-3.224,0.437,-0.831,-0.847,-0.896,0.358,-0.897,-1.125,-1.572,0.923,-1.307,-1.4,-4.292,-0.549,-1.822,-2.808,-4.955,0.394,-1.029,-1.345,-1.629
2015-03-06,2071.26,0.394,5,06,03,-1.53,-1.678,-3.491,-3.869,-1.36,-1.131,-2.132,-2.132,-0.162,0.408,-0.565,-0.081,-1.055,-1.809,-5.906,-5.149,-2.73,-2.823,-3.302,-2.95,-1.263,-0.973,-1.863,-1.215,-1.251,-1.103,-2.02,-2.034,-2.209,-2.333,-2.656,-4.758,-1.28,-1.778,-2.737,-4.238,-1.417,-1.299,-2.179,-2.09
2015-03-05,2101.04,-1.417,4,05,03,-0.15,-1.239,-2.135,-0.969,0.232,-0.17,-0.63,-0.17,0.571,0.081,-0.162,0.571,-0.762,-2.342,-4.707,-2.956,-0.096,-0.407,-0.999,-0.373,0.294,-0.016,0.114,0.18,0.15,-0.229,-0.018,-0.667,-0.127,-0.095,-2.501,-1.328,-0.505,-1.004,-2.033,-2.55,0.12,-0.32,-0.164,-0.409
2015-03-04,2098.53,0.12,3,04,03,-1.09,-1.844,-2.06,-1.82,-0.401,-1.012,-0.815,-0.753,-0.487,-0.969,-1.129,-0.568,-1.593,-4.173,-3.998,-3.023,-0.312,-0.493,-0.827,-0.147,-0.31,-0.899,-0.722,-0.016,-0.378,-0.927,-0.563,-0.808,0.032,-0.331,-1.557,-0.071,-0.502,-0.977,-1.658,-3.047,-0.439,-0.891,-0.578,-0.558
2015-03-03,2107.78,-0.439,2,03,03,-0.762,-0.908,-0.957,-0.074,-0.613,-0.461,-0.69,0.574,-0.485,-0.243,0.244,0.818,-2.623,-2.422,-1.249,-0.836,-0.182,-0.594,-0.199,-0.405,-0.591,0.131,-0.049,0.565,-0.55,0.212,-0.453,0.281,-0.363,-2.409,-2.933,0.19,-0.477,-1.039,-2.21,-2.035,-0.454,0.156,-0.288,0.493
2015-03-02,2117.39,-0.454,1,02,03,-0.147,-0.221,-0.392,0.271,0.154,0.2,0.0,1.321,0.243,-0.161,0.487,2.061,0.206,0.183,0.805,1.74,-0.413,-0.336,0.364,-0.567,0.726,0.178,0.66,1.172,0.766,0.367,-0.014,0.729,-2.054,-1.23,-2.159,-0.11,-0.565,-0.688,-1.543,-3.263,0.612,0.315,0.09,0.843
2015-02-27,2104.5,0.612,5,27,02,-0.074,-0.049,1.192,0.394,0.046,-0.23,0.463,1.766,-0.403,0.488,0.734,3.607,-0.023,1.203,1.838,1.437,0.078,0.398,0.632,0.129,-0.544,-0.179,0.065,0.55,-0.396,-0.663,-0.649,0.274,0.841,-0.538,1.203,2.59,-0.124,-1.183,-0.528,-4.847,-0.296,-0.443,-0.245,0.198
2015-02-26,2110.74,-0.296,4,26,02,0.025,-0.171,0.246,0.246,-0.276,-0.199,0.062,1.959,0.895,0.649,0.568,3.94,1.226,0.621,1.015,1.838,0.32,0.703,0.685,-1.619,0.366,0.481,0.711,1.415,-0.268,-0.38,-0.246,0.654,-1.367,-0.941,1.509,0.203,-1.06,-0.861,-1.412,-5.055,-0.148,-0.224,0.021,0.656
2015-02-25,2113.86,-0.148,3,25,02,-0.196,1.242,0.891,1.368,0.077,0.694,1.273,2.918,-0.244,0.245,0.573,4.241,-0.598,0.628,0.418,1.241,0.382,0.234,-0.207,-1.398,0.114,0.245,0.615,1.647,-0.112,0.014,0.737,1.579,0.432,1.75,3.218,0.548,0.201,0.663,0.179,-2.999,-0.077,0.199,0.782,1.215
2015-02-24,2115.48,-0.077,2,24,02,1.441,0.418,0.666,3.734,0.617,0.261,1.321,4.437,0.489,-0.081,1.566,5.209,1.233,0.392,0.928,3.301,-0.147,-0.017,-0.928,-1.546,0.131,0.229,0.508,2.687,0.127,0.134,0.744,2.648,1.313,2.474,2.094,-0.215,0.461,-0.556,-1.747,-1.302,0.276,0.245,0.752,2.27
2015-02-23,2109.66,0.276,1,23,02,-1.008,-0.347,-0.789,1.513,-0.354,0.574,1.297,3.234,-0.568,0.327,2.852,4.876,-0.831,-0.209,-0.394,1.994,0.13,-0.44,-0.5,-2.566,0.098,0.369,0.484,2.408,0.007,0.723,0.929,2.458,1.146,1.442,1.37,-1.326,-1.012,-0.481,-4.342,-2.198,-0.03,0.582,0.444,1.985
2015-02-20,2110.3,-0.03,5,20,02,0.668,0.246,0.0,2.289,0.931,1.057,1.896,4.55,0.9,1.649,3.353,6.846,0.627,0.534,0.814,3.314,-0.569,-0.911,-2.289,-3.264,0.27,0.279,0.699,2.961,0.715,0.609,0.903,3.309,0.293,-0.37,-1.287,-3.22,0.537,-1.198,-3.695,-1.791,0.613,0.506,0.635,3.105
2015-02-19,2097.45,0.613,4,19,02,-0.419,-0.444,0.473,1.457,0.124,0.719,1.625,3.088,0.742,2.517,3.647,4.893,-0.093,-0.185,0.819,2.426,-0.344,-0.06,-1.193,-2.276,0.008,0.115,1.026,1.87,-0.106,0.205,0.835,2.029,-0.661,-0.071,-2.586,-3.658,-1.725,-3.88,-3.172,-2.251,-0.106,-0.138,0.429,2.042
2015-02-18,2099.68,-0.106,3,18,02,-0.025,-0.246,3.048,0.148,0.594,0.83,3.075,1.675,1.762,1.676,3.587,3.234,-0.093,0.279,2.351,0.209,0.284,-1.39,-0.624,-4.475,0.107,0.42,2.168,1.751,0.311,0.293,1.891,1.755,0.594,-0.921,-2.262,-4.733,-2.192,-2.528,0.453,-1.462,-0.031,0.128,1.506,1.802
2015-02-17,2100.34,-0.031,2,17,02,-0.221,0.92,2.32,0.77,0.235,0.899,1.912,2.467,-0.084,1.103,1.967,2.318,0.372,1.007,2.397,-0.023,-1.67,-1.133,-2.076,-4.581,0.313,0.911,1.914,2.956,-0.018,0.629,1.515,2.496,-1.506,-2.517,-2.66,-6.335,-0.343,0.736,2.242,1.738,0.16,0.568,1.535,2.882
2015-02-13,2096.99,0.16,5,13,02,1.144,3.302,2.289,0.494,0.662,2.226,2.605,1.382,1.187,1.879,3.38,2.934,0.632,2.066,2.48,0.444,0.545,0.777,-0.999,-2.536,0.596,1.741,2.246,2.255,0.648,1.594,2.385,2.094,-1.027,-1.354,-1.958,-4.741,1.083,3.057,1.977,1.214,0.407,1.376,2.455,2.291
2015-02-12,2088.48,0.407,4,12,02,2.134,1.387,0.979,1.234,1.554,1.004,1.44,2.324,0.683,0.855,1.202,1.55,1.425,1.377,1.594,1.836,0.231,-0.954,-1.096,-4.15,1.139,0.995,0.835,3.469,0.94,0.88,1.184,3.3,-0.331,-0.146,-1.1,-5.79,1.954,1.494,0.951,3.115,0.964,0.962,1.606,3.347
2015-02-11,2068.53,0.964,3,11,02,-0.731,-0.981,-2.814,0.897,-0.542,0.37,-1.359,1.976,0.171,1.473,-0.34,1.915,-0.047,0.405,-2.093,2.11,-1.182,-1.762,-3.876,-5.168,-0.142,0.496,-0.409,3.241,-0.059,0.779,-0.134,3.118,0.185,-0.612,-2.528,-6.024,-0.45,-1.048,-1.906,3.638,-0.003,1.065,0.291,3.686
2015-02-10,2068.59,-0.003,2,10,02,-0.252,-0.402,-1.515,-1.147,0.916,0.432,0.545,0.916,1.3,0.343,0.343,0.0,0.453,0.214,-2.364,-0.613,-0.587,-0.143,-2.558,-1.896,0.639,-0.159,1.022,1.116,0.839,0.302,0.967,1.803,-0.795,-0.954,-3.776,-4.534,-0.601,-0.536,-0.492,3.916,1.068,0.638,1.326,2.342
2015-02-09,2046.74,1.068,1,09,02,-0.151,-1.851,-1.754,-0.897,-0.48,-1.722,-1.191,1.369,-0.944,-1.787,-0.431,-0.431,-0.238,-2.488,-1.986,-0.404,0.447,-2.151,-1.553,-3.444,-0.793,-0.9,0.008,1.86,-0.532,-0.905,-0.284,1.71,-0.16,-1.928,-2.839,-4.402,0.066,-0.866,-0.748,4.105,-0.425,-0.765,-0.16,2.227
2015-02-06,2055.47,-0.425,5,06,02,-1.703,-1.117,0.252,-1.824,-1.248,0.112,0.872,0.337,-0.851,0.0,0.345,0.345,-2.255,-2.572,0.238,-1.982,-2.586,-2.418,-3.088,-4.63,-0.108,1.182,2.612,0.944,-0.375,0.663,2.091,1.008,-1.77,-2.849,-4.743,-2.683,-0.931,0.044,2.143,0.605,-0.342,0.684,1.713,1.277
2015-02-05,2062.52,-0.342,4,05,02,0.596,0.099,3.819,-0.662,1.378,0.54,3.381,1.752,0.858,1.381,2.263,1.381,-0.324,0.514,4.292,-1.646,0.173,0.611,-1.345,-0.976,1.292,0.917,3.665,0.57,1.042,0.627,3.256,0.702,-1.098,-0.929,-3.587,-0.774,0.984,0.119,5.651,0.654,1.029,0.609,3.385,0.264
2015-02-04,2041.51,1.029,3,04,02,-0.494,1.385,0.374,-1.202,-0.826,0.759,0.37,1.744,0.518,0.345,-0.342,1.658,0.841,2.885,1.793,-1.371,0.438,-0.686,0.679,-2.133,-0.37,1.413,0.093,0.246,-0.411,1.418,0.828,0.843,0.171,-1.949,-0.788,0.022,-0.856,2.099,4.43,0.627,-0.416,1.022,1.002,-0.502
2015-02-03,2050.03,-0.416,2,03,02,1.888,3.716,0.872,-1.461,1.598,2.826,2.591,2.009,-0.172,0.87,0.0,0.783,2.027,3.758,1.615,-2.44,-1.119,-1.944,-1.92,-3.338,1.79,2.723,1.851,0.55,1.836,2.612,1.999,0.741,-2.117,-2.683,-1.609,1.241,2.981,5.525,4.889,-0.668,1.444,2.759,2.391,-0.636
2015-02-02,2020.85,1.444,1,02,02,1.794,-0.997,-2.071,-1.439,1.209,-0.386,-0.53,0.781,1.044,-0.684,0.0,1.397,1.697,-1.062,-2.215,-2.669,-0.834,1.375,-1.592,-1.457,0.916,-1.302,-1.626,0.794,0.762,-0.582,-1.061,0.77,-0.579,1.185,2.162,3.058,2.471,2.284,-1.506,-2.493,1.296,-0.02,-0.429,-0.555
2015-01-30,1994.99,1.296,5,30,01,-2.742,-2.742,-4.316,-1.04,-1.576,-0.228,-1.576,0.361,-1.711,-0.863,-0.863,0.525,-2.713,-2.066,-5.694,-1.245,2.228,0.024,0.374,-0.604,-2.198,-0.848,-2.985,-0.439,-1.334,-0.598,-2.473,0.609,1.774,1.104,2.918,2.46,-0.183,-0.603,-4.73,-4.029,-1.299,-0.358,-3.019,-1.363
2015-01-29,2021.25,-1.299,4,29,01,0.0,-1.085,-1.57,1.595,1.369,-0.144,1.369,2.319,0.863,0.689,2.007,3.086,0.665,-1.166,-3.109,0.403,-2.155,-2.926,-2.793,-1.437,1.38,-0.329,0.152,1.371,0.746,-0.481,0.015,1.777,-0.658,0.966,0.816,2.012,-0.421,-3.705,-3.642,-3.885,0.953,-0.409,-1.49,0.091
2015-01-28,2002.16,0.953,3,28,01,-1.085,-1.618,-2.313,2.451,-1.493,-1.35,-0.567,2.25,-0.172,0.0,0.783,3.114,-1.819,-3.705,-3.99,-0.848,-0.788,0.35,-1.445,2.051,-1.685,-2.155,-1.277,1.62,-1.219,-1.887,-1.233,2.43,1.635,1.794,2.896,1.379,-3.299,-4.152,-5.298,-1.135,-1.35,-2.67,-2.956,0.476
2015-01-27,2029.55,-1.35,2,27,01,-0.539,-0.491,0.645,3.814,0.145,1.516,1.318,4.461,0.173,1.309,1.397,4.032,-1.921,-1.966,-0.464,1.998,1.146,0.137,0.137,5.451,-0.478,0.483,2.46,1.618,-0.676,0.499,1.85,2.542,0.156,-0.148,0.877,1.318,-0.883,0.066,-1.001,1.348,-1.339,-1.085,-0.126,0.909
2015-01-26,2057.09,-1.339,1,26,01,0.049,-0.706,3.424,3.792,1.369,0.794,1.967,4.013,1.134,0.783,1.4,3.667,-0.046,-0.296,4.717,2.894,-0.998,-1.789,-0.974,4.088,0.965,0.897,2.625,1.697,1.183,0.666,3.16,2.815,-0.304,1.083,-0.445,1.927,0.957,-1.195,0.736,1.956,0.257,-0.294,1.708,1.684
2015-01-23,2051.82,0.257,5,23,01,-0.755,1.141,3.216,4.647,-0.567,-0.195,0.938,3.126,-0.348,0.087,1.058,3.336,-0.251,1.532,3.624,4.415,-0.799,0.0,1.396,4.782,-0.068,1.968,1.217,0.802,-0.511,1.345,1.762,1.566,1.392,1.027,1.186,2.238,-2.132,-1.067,-0.252,0.62,-0.549,0.969,1.604,1.162
2015-01-22,2063.15,-0.549,4,22,01,1.911,4.159,4.877,4.584,0.374,1.164,2.833,3.471,0.437,0.612,2.313,3.324,1.787,5.029,3.273,3.737,0.805,0.829,3.547,6.797,2.037,1.712,2.935,0.536,1.866,2.478,3.709,1.543,-0.36,-1.512,-1.475,1.411,1.088,1.954,4.395,0.836,1.527,2.007,3.537,0.897
2015-01-21,2032.12,1.527,3,21,01,2.206,2.051,3.148,2.284,0.787,1.135,3.102,2.586,0.175,0.97,2.599,1.778,3.185,2.061,2.473,1.532,0.024,1.396,5.306,7.15,-0.318,-0.737,-0.822,-2.418,0.601,0.412,0.679,-1.159,-1.156,0.158,0.437,2.892,0.856,0.823,2.374,-0.39,0.473,0.629,1.037,-1.456
2015-01-20,2022.55,0.473,2,20,01,-0.152,0.689,0.356,1.781,0.345,1.65,2.007,3.163,0.794,1.69,2.236,2.88,-1.09,-1.672,-1.741,-0.808,1.371,2.696,5.112,6.674,-0.42,1.202,-0.904,-0.445,-0.188,1.201,-0.334,-0.227,1.329,0.037,2.382,2.717,-0.033,2.394,1.211,0.408,0.155,1.499,-0.024,-0.165
2015-01-16,2019.42,0.155,5,16,01,0.843,1.075,1.386,4.14,1.3,1.945,2.168,3.95,0.89,1.613,2.254,3.562,-0.589,0.404,0.764,2.925,1.306,3.857,3.34,4.611,1.628,-0.086,-0.41,1.205,1.392,0.266,-0.192,1.313,-1.275,0.279,1.039,1.17,2.428,1.538,0.875,1.459,1.342,0.405,-0.436,0.839
2015-01-15,1992.67,1.342,4,15,01,0.23,-0.331,-0.28,2.836,0.637,0.351,0.62,1.454,0.717,0.537,0.988,0.988,0.999,-0.071,0.449,2.263,2.518,2.353,3.138,4.439,-1.687,-2.081,-2.331,-2.139,-1.111,-1.517,-2.089,-1.248,1.574,2.344,2.93,4.323,-0.869,-1.156,-3.409,-1.473,-0.925,-1.501,-2.55,-1.381
2015-01-14,2011.27,-0.925,3,14,01,-0.56,0.308,-0.838,0.774,-0.284,0.218,-0.501,-1.568,-0.179,0.631,-0.8,-0.888,-1.059,0.358,-0.919,0.888,-0.161,-0.498,1.751,3.41,-0.401,-0.324,-1.609,-1.791,-0.411,-0.457,-1.825,-1.616,0.759,0.759,2.445,4.32,-0.289,-0.653,-2.7,-3.329,-0.581,-0.838,-2.467,-2.28
2015-01-13,2023.03,-0.581,2,13,01,0.873,0.051,1.42,0.0,0.504,0.268,1.133,-1.709,0.812,0.449,0.63,-0.534,1.432,0.52,0.95,2.114,-0.337,0.768,1.486,4.032,0.077,-0.255,0.463,-1.965,-0.046,-0.58,0.108,-1.368,0.0,0.572,0.327,4.686,-0.365,-2.28,-0.794,-2.65,-0.258,-1.065,-0.142,-1.742
2015-01-12,2028.26,-0.258,1,12,01,-0.815,-1.142,2.716,-0.79,-0.235,-0.718,1.744,-2.81,-0.359,-1.422,1.279,-1.858,-0.899,-1.272,2.145,2.32,1.109,2.26,1.23,2.917,-0.332,-1.289,1.622,-2.626,-0.535,-1.374,1.508,-2.343,0.572,1.674,0.129,4.885,-1.922,-2.06,0.579,-2.892,-0.809,-1.643,1.281,-2.504
