Date,Close
2015-03-18,40.17
2015-03-17,39.21
2015-03-16,38.76
2015-03-13,38.30
2015-03-12,38.77
2015-03-11,38.53
2015-03-10,38.24
2015-03-09,39.11
2015-03-06,39.26
2015-03-05,39.87
2015-03-04,39.93
2015-03-03,40.37
2015-03-02,40.68
2015-02-27,40.74
2015-02-26,40.77
2015-02-25,40.76
2015-02-24,40.84
2015-02-23,40.26
2015-02-20,40.67
2015-02-19,40.40
2015-02-18,40.57
2015-02-17,40.58
2015-02-13,40.67
2015-02-12,40.21
2015-02-11,39.37
2015-02-10,39.66
2015-02-09,39.76
2015-02-06,39.82
2015-02-05,40.51
2015-02-04,40.27
2015-02-03,40.47
2015-02-02,39.72
2015-01-30,39.02
2015-01-29,40.12
2015-01-28,40.12
2015-01-27,40.56
2015-01-26,40.78
2015-01-23,40.76
2015-01-22,41.07
2015-01-21,40.30
2015-01-20,39.43
2015-01-16,39.49
2015-01-15,39.16
2015-01-14,39.07
2015-01-13,39.29
2015-01-12,38.95
2015-01-09,39.27
2015-01-08,39.40
2015-01-07,38.74
2015-01-06,37.92
2015-01-05,38.08
2015-01-02,38.77
2014-12-31,39.29
2014-12-30,39.26
2014-12-29,39.18
2014-12-26,39.42
2014-12-24,39.11
2014-12-23,39.02
2014-12-22,39.38
2014-12-19,38.84
2014-12-18,38.57
2014-12-17,38.05
2014-12-16,37.73
2014-12-15,37.79
2014-12-12,38.34
2014-12-11,38.98
2014-12-10,39.31
2014-12-09,39.90
2014-12-08,40.28
2014-12-05,40.88
2014-12-04,40.96
2014-12-03,40.89
2014-12-02,40.78
2014-12-01,40.79
2014-11-28,41.50
2014-11-26,42.35
2014-11-25,41.82
2014-11-24,42.09
2014-11-21,42.44
2014-11-20,41.13
2014-11-19,41.20
2014-11-18,41.22
2014-11-17,41.00
2014-11-14,41.44
2014-11-13,41.10
2014-11-12,41.21
2014-11-11,41.29
2014-11-10,41.33
2014-11-07,41.22
2014-11-06,40.96
2014-11-05,41.47
2014-11-04,41.84
2014-11-03,41.80
2014-10-31,42.15
2014-10-30,41.97
2014-10-29,41.58
2014-10-28,41.52
2014-10-27,40.70
2014-10-24,41.02
2014-10-23,40.73
2014-10-22,40.74
2014-10-21,41.01
2014-10-20,40.84
2014-10-17,40.72
2014-10-16,40.27
2014-10-15,40.64
2014-10-14,41.16
2014-10-13,40.92
2014-10-10,40.51
2014-10-09,41.41
2014-10-08,42.07
2014-10-07,41.45
2014-10-06,41.82
2014-10-03,41.28
2014-10-02,40.93
2014-10-01,40.71
2014-09-30,41.56
2014-09-29,41.56
2014-09-26,42.42
2014-09-25,42.23
2014-09-24,43.17
2014-09-23,42.56
2014-09-22,42.80
2014-09-19,43.46
2014-09-18,43.79
2014-09-17,43.73
2014-09-16,44.14
2014-09-15,43.57
2014-09-12,43.79
2014-09-11,44.26
2014-09-10,44.56
2014-09-09,44.75
2014-09-08,45.31
2014-09-05,45.85
2014-09-04,45.46
2014-09-03,45.58
2014-09-02,44.99
2014-08-29,45.06
2014-08-28,45.13
2014-08-27,45.58
2014-08-26,45.35
2014-08-25,45.08
2014-08-22,44.75
2014-08-21,44.87
2014-08-20,45.06
2014-08-19,45.15
2014-08-18,44.94
2014-08-15,44.51
2014-08-14,44.63
2014-08-13,44.56
2014-08-12,44.32
2014-08-11,44.27
2014-08-08,43.71
2014-08-07,43.32
2014-08-06,43.49
2014-08-05,43.79
2014-08-04,44.47
2014-08-01,44.06
2014-07-31,43.82
2014-07-30,44.60
2014-07-29,44.82
2014-07-28,45.09
2014-07-25,44.78
2014-07-24,44.96
2014-07-23,44.76
2014-07-22,44.72
2014-07-21,44.31
2014-07-18,44.16
2014-07-17,43.48
2014-07-16,44.31
2014-07-15,44.20
2014-07-14,44.23
2014-07-11,43.89
2014-07-10,43.94
2014-07-09,44.18
2014-07-08,43.93
2014-07-07,44.13
2014-07-03,44.16
2014-07-02,43.90
2014-07-01,43.64
2014-06-30,43.23
2014-06-27,43.35
2014-06-26,43.25
2014-06-25,43.20
2014-06-24,43.45
2014-06-23,43.47
2014-06-20,43.56
2014-06-19,43.65
2014-06-18,43.90
2014-06-17,43.42
2014-06-16,43.41
2014-06-13,43.61
2014-06-12,43.59
2014-06-11,43.80
2014-06-10,43.95
2014-06-09,43.72
2014-06-06,43.56
2014-06-05,43.13
2014-06-04,42.68
2014-06-03,42.92
2014-06-02,42.68
2014-05-30,42.55
2014-05-29,43.14
2014-05-28,43.02
2014-05-27,42.77
2014-05-23,43.14
2014-05-22,43.22
2014-05-21,42.92
2014-05-20,42.59
2014-05-19,42.94
2014-05-16,42.94
2014-05-15,42.38
2014-05-14,42.78
2014-05-13,42.48
2014-05-12,42.32
2014-05-09,41.62
2014-05-08,41.69
2014-05-07,41.79
2014-05-06,41.57
2014-05-05,41.38
2014-05-02,41.61
2014-05-01,41.38
2014-04-30,41.33
2014-04-29,41.41
2014-04-28,41.02
2014-04-25,40.82
2014-04-24,41.38
2014-04-23,41.34
2014-04-22,41.64
2014-04-21,41.75
2014-04-17,42.01
2014-04-16,41.63
2014-04-15,41.11
2014-04-14,41.74
2014-04-11,41.83
2014-04-10,41.83
2014-04-09,42.28
2014-04-08,41.96
2014-04-07,41.48
2014-04-04,41.30
2014-04-03,41.41
2014-04-02,41.57
2014-04-01,41.49
2014-03-31,41.01
2014-03-28,40.74
2014-03-27,40.42
2014-03-26,39.90
2014-03-25,39.81
2014-03-24,39.36
2014-03-21,38.98
2014-03-20,38.74
2014-03-19,38.57
2014-03-18,39.41
2014-03-17,38.87
2014-03-14,38.40
2014-03-13,38.19
2014-03-12,38.89
2014-03-11,38.81
2014-03-10,39.25
2014-03-07,39.52
2014-03-06,40.03
2014-03-05,39.47
2014-03-04,39.44
2014-03-03,38.78
2014-02-28,39.48
2014-02-27,39.75
2014-02-26,39.01
2014-02-25,38.98
2014-02-24,39.43
2014-02-21,39.43
2014-02-20,39.16
2014-02-19,39.02
2014-02-18,39.29
2014-02-14,39.66
2014-02-13,39.18
2014-02-12,39.14
2014-02-11,39.13
2014-02-10,38.30
2014-02-07,38.73
2014-02-06,38.51
2014-02-05,37.72
2014-02-04,37.86
2014-02-03,37.11
2014-01-31,38.19
2014-01-30,38.13
2014-01-29,37.78
2014-01-28,38.33
2014-01-27,38.09
2014-01-24,38.24
2014-01-23,39.27
2014-01-22,40.26
2014-01-21,39.73
2014-01-17,39.79
2014-01-16,39.99
2014-01-15,40.21
2014-01-14,40.22
2014-01-13,39.79
2014-01-10,40.27
2014-01-09,39.57
2014-01-08,39.78
2014-01-07,39.91
2014-01-06,39.74
2014-01-03,40.12
2014-01-02,40.19
2013-12-31,41.80
2013-12-30,41.48
2013-12-27,41.30
2013-12-26,40.67
2013-12-24,41.02
2013-12-23,40.78
2013-12-20,40.48
2013-12-19,40.54
2013-12-18,41.30
2013-12-17,40.86
2013-12-16,41.22
2013-12-13,40.95
2013-12-12,40.85
2013-12-11,41.09
2013-12-10,42.02
2013-12-09,42.00
2013-12-06,41.94
2013-12-05,41.03
2013-12-04,41.27
2013-12-03,41.32
2013-12-02,41.46
2013-11-29,42.35
2013-11-27,41.92
2013-11-26,41.65
2013-11-25,41.51
2013-11-22,42.05
2013-11-21,41.75
2013-11-20,41.79
2013-11-19,42.37
2013-11-18,42.63
2013-11-15,42.25
2013-11-14,41.46
2013-11-13,40.80
2013-11-12,40.73
2013-11-11,40.95
2013-11-08,41.16
2013-11-07,41.25
2013-11-06,42.01
2013-11-05,41.88
2013-11-04,42.74
2013-11-01,42.48
2013-10-31,42.46
2013-10-30,42.90
2013-10-29,43.14
2013-10-28,43.00
2013-10-25,42.75
2013-10-24,42.55
2013-10-23,42.64
2013-10-22,43.66
2013-10-21,43.24
2013-10-18,43.31
2013-10-17,43.27
2013-10-16,43.00
2013-10-15,42.66
2013-10-14,43.08
2013-10-11,42.83
2013-10-10,42.64
2013-10-09,41.66
2013-10-08,41.35
2013-10-07,41.75
2013-10-04,42.11
2013-10-03,41.57
2013-10-02,41.73
2013-10-01,41.57
2013-09-30,40.76
2013-09-27,41.23
2013-09-26,41.72
2013-09-25,41.55
2013-09-24,41.87
2013-09-23,42.23
2013-09-20,42.08
2013-09-19,43.04
2013-09-18,43.27
2013-09-17,41.53
2013-09-16,41.62
2013-09-13,41.16
2013-09-12,40.89
2013-09-11,41.37
2013-09-10,41.34
2013-09-09,41.03
2013-09-06,39.98
2013-09-05,39.40
2013-09-04,38.94
2013-09-03,38.26
2013-08-30,38.02
2013-08-29,37.73
2013-08-28,37.43
2013-08-27,37.35
2013-08-26,38.23
2013-08-23,38.65
2013-08-22,38.20
2013-08-21,37.59
2013-08-20,38.49
2013-08-19,38.56
2013-08-16,39.30
2013-08-15,39.64
2013-08-14,40.10
2013-08-13,39.97
2013-08-12,39.73
2013-08-09,39.36
2013-08-08,39.28
2013-08-07,38.54
2013-08-06,38.96
2013-08-05,39.46
2013-08-02,39.71
2013-08-01,39.72
2013-07-31,39.01
2013-07-30,39.24
2013-07-29,39.33
2013-07-26,39.83
2013-07-25,39.92
2013-07-24,39.69
2013-07-23,40.10
2013-07-22,39.67
2013-07-19,39.28
2013-07-18,39.39
2013-07-17,39.86
2013-07-16,39.50
2013-07-15,39.34
2013-07-12,38.94
2013-07-11,39.36
2013-07-10,37.52
2013-07-09,37.88
2013-07-08,37.39
2013-07-05,37.34
2013-07-03,37.58
2013-07-02,37.93
2013-07-01,38.62
2013-06-28,38.50
2013-06-27,38.28
2013-06-26,38.02
2013-06-25,37.43
2013-06-24,36.65
2013-06-21,37.41
2013-06-20,36.88
2013-06-19,38.61
2013-06-18,39.84
2013-06-17,39.67
2013-06-14,39.31
2013-06-13,39.94
2013-06-12,39.11
2013-06-11,39.38
2013-06-10,40.14
2013-06-07,40.69
2013-06-06,40.90
2013-06-05,40.56
2013-06-04,41.30
2013-06-03,41.81
2013-05-31,41.20
2013-05-30,41.96
2013-05-29,41.96
2013-05-28,42.50
2013-05-24,42.27
2013-05-23,42.64
2013-05-22,42.96
2013-05-21,43.44
2013-05-20,43.53
2013-05-17,43.42
2013-05-16,43.23
2013-05-15,43.38
2013-05-14,43.37
2013-05-13,43.17
2013-05-10,43.57
2013-05-09,43.91
2013-05-08,44.23
2013-05-07,43.89
2013-05-06,43.58
2013-05-03,43.52
2013-05-02,43.16
2013-05-01,42.82
2013-04-30,43.29
2013-04-29,42.68
