Date,Close
2015-03-18,65.00
2015-03-17,63.64
2015-03-16,63.80
2015-03-13,63.09
2015-03-12,63.46
2015-03-11,62.68
2015-03-10,62.52
2015-03-09,63.91
2015-03-06,63.81
2015-03-05,64.69
2015-03-04,64.54
2015-03-03,64.80
2015-03-02,65.20
2015-02-27,65.10
2015-02-26,65.07
2015-02-25,65.25
2015-02-24,65.20
2015-02-23,64.80
2015-02-20,65.03
2015-02-19,64.43
2015-02-18,64.35
2015-02-17,63.97
2015-02-13,63.82
2015-02-12,63.40
2015-02-11,62.43
2015-02-10,62.77
2015-02-09,62.20
2015-02-06,62.50
2015-02-05,63.29
2015-02-04,62.43
2015-02-03,62.95
2015-02-02,61.96
2015-01-30,61.22
2015-01-29,62.20
2015-01-28,61.36
2015-01-27,62.29
2015-01-26,62.20
2015-01-23,61.36
2015-01-22,61.71
2015-01-21,61.48
2015-01-20,61.00
2015-01-16,60.79
2015-01-15,60.01
2015-01-14,59.63
2015-01-13,59.80
2015-01-12,59.50
2015-01-09,59.64
2015-01-08,59.93
2015-01-07,59.13
2015-01-06,58.48
2015-01-05,59.15
2015-01-02,60.58
2014-12-31,60.84
2014-12-30,61.22
2014-12-29,61.79
2014-12-26,62.24
2014-12-24,62.08
2014-12-23,61.80
2014-12-22,62.00
2014-12-19,61.70
2014-12-18,61.61
2014-12-17,60.53
2014-12-16,60.40
2014-12-15,59.97
2014-12-12,60.98
2014-12-11,62.18
2014-12-10,62.26
2014-12-09,63.06
2014-12-08,63.40
2014-12-05,63.96
2014-12-04,63.82
2014-12-03,64.03
2014-12-02,64.11
2014-12-01,63.93
2014-11-28,63.99
2014-11-26,64.51
2014-11-25,64.26
2014-11-24,64.15
2014-11-21,63.78
2014-11-20,63.23
2014-11-19,63.61
2014-11-18,63.80
2014-11-17,63.11
2014-11-14,63.36
2014-11-13,63.27
2014-11-12,62.97
2014-11-11,63.51
2014-11-10,63.13
2014-11-07,62.85
2014-11-06,62.82
2014-11-05,63.16
2014-11-04,63.04
2014-11-03,63.40
2014-10-31,63.95
2014-10-30,62.79
2014-10-29,62.34
2014-10-28,62.82
2014-10-27,61.88
2014-10-24,62.23
2014-10-23,61.89
2014-10-22,61.30
2014-10-21,61.75
2014-10-20,61.02
2014-10-17,60.64
2014-10-16,59.53
2014-10-15,60.09
2014-10-14,60.45
2014-10-13,60.30
2014-10-10,60.38
2014-10-09,61.30
2014-10-08,62.99
2014-10-07,62.01
2014-10-06,63.08
2014-10-03,62.68
2014-10-02,62.68
2014-10-01,63.36
2014-09-30,64.12
2014-09-29,64.17
2014-09-26,64.77
2014-09-25,64.50
2014-09-24,65.46
2014-09-23,65.13
2014-09-22,65.68
2014-09-19,65.97
2014-09-18,66.20
2014-09-17,65.69
2014-09-16,66.16
2014-09-15,65.88
2014-09-12,66.02
2014-09-11,66.11
2014-09-10,66.48
2014-09-09,66.10
2014-09-08,66.29
2014-09-05,67.00
2014-09-04,66.99
2014-09-03,67.31
2014-09-02,66.84
2014-08-29,66.71
2014-08-28,66.74
2014-08-27,67.04
2014-08-26,66.91
2014-08-25,66.90
2014-08-22,66.47
2014-08-21,66.79
2014-08-20,66.51
2014-08-19,66.72
2014-08-18,66.56
2014-08-15,66.13
2014-08-14,66.20
2014-08-13,65.85
2014-08-12,65.48
2014-08-11,65.53
2014-08-08,65.28
2014-08-07,64.90
