Date,Close
2015-03-18,278.08
2015-03-17,275.34
2015-03-16,274.83
2015-03-13,271.59
2015-03-12,273.22
2015-03-11,270.24
2015-03-10,268.27
2015-03-09,271.69
2015-03-06,270.72
2015-03-05,274.15
2015-03-04,273.74
2015-03-03,274.78
2015-03-02,276.30
2015-02-27,274.20
2015-02-26,275.29
2015-02-25,276.03
2015-02-24,276.34
2015-02-23,275.99
2015-02-20,275.97
2015-02-19,274.01
2015-02-18,274.30
2015-02-17,273.45
2015-02-13,273.50
2015-02-12,271.74
2015-02-11,269.21
2015-02-10,269.37
2015-02-09,267.13
2015-02-06,268.56
2015-02-05,269.57
2015-02-04,266.79
2015-02-03,267.89
2015-02-02,263.06
2015-01-30,261.07
2015-01-29,264.60
2015-01-28,262.64
2015-01-27,265.88
2015-01-26,267.69
2015-01-23,264.56
2015-01-22,265.92
2015-01-21,261.05
2015-01-20,259.49
2015-01-16,259.98
2015-01-15,256.41
2015-01-14,259.29
2015-01-13,260.36
2015-01-12,260.48
2015-01-09,261.88
2015-01-08,264.11
2015-01-07,260.08
2015-01-06,256.61
2015-01-05,259.65
2015-01-02,263.55
2014-12-31,263.97
2014-12-30,266.73
2014-12-29,267.81
2014-12-26,266.57
2014-12-24,265.90
2014-12-23,265.31
2014-12-22,264.38
2014-12-19,263.30
2014-12-18,263.64
2014-12-17,259.16
2014-12-16,253.35
2014-12-15,253.89
2014-12-12,255.71
2014-12-11,259.29
2014-12-10,257.83
2014-12-09,262.92
2014-12-08,261.46
2014-12-05,263.33
2014-12-04,262.93
2014-12-03,263.34
2014-12-02,261.13
2014-12-01,259.54
2014-11-28,262.86
2014-11-26,264.98
2014-11-25,265.01
2014-11-24,264.94
2014-11-21,263.17
2014-11-20,261.92
2014-11-19,260.65
2014-11-18,261.53
2014-11-17,260.13
2014-11-14,260.55
2014-11-13,260.69
2014-11-12,261.86
2014-11-11,261.34
2014-11-10,261.26
2014-11-07,260.50
2014-11-06,260.35
2014-11-05,258.54
2014-11-04,257.52
2014-11-03,258.62
2014-10-31,258.12
2014-10-30,255.19
2014-10-29,254.46
2014-10-28,254.75
2014-10-27,250.48
2014-10-24,250.76
2014-10-23,249.80
2014-10-22,246.16
2014-10-21,248.76
2014-10-20,243.07
2014-10-17,240.61
2014-10-16,238.86
2014-10-15,236.33
2014-10-14,236.56
2014-10-13,234.38
2014-10-10,237.28
2014-10-09,241.53
2014-10-08,247.40
2014-10-07,243.85
2014-10-06,247.47
2014-10-03,248.16
2014-10-02,246.52
2014-10-01,245.97
2014-09-30,249.32
2014-09-29,251.55
2014-09-26,252.16
2014-09-25,250.20
2014-09-24,253.76
2014-09-23,252.47
2014-09-22,254.51
2014-09-19,258.01
2014-09-18,260.16
2014-09-17,259.26
2014-09-16,259.50
2014-09-15,258.06
2014-09-12,259.09
2014-09-11,261.59
2014-09-10,260.35
2014-09-09,259.98
2014-09-08,262.08
2014-09-05,262.34
2014-09-04,261.37
2014-09-03,262.11
2014-09-02,262.50
2014-08-29,261.74
2014-08-28,260.58
2014-08-27,260.90
2014-08-26,261.26
2014-08-25,260.39
2014-08-22,259.48
2014-08-21,259.71
2014-08-20,259.28
2014-08-19,258.65
2014-08-18,257.11
2014-08-15,254.07
2014-08-14,254.66
2014-08-13,253.30
2014-08-12,251.16
2014-08-11,252.05
2014-08-08,250.94
2014-08-07,248.33
2014-08-06,249.27
2014-08-05,248.96
2014-08-04,250.15
2014-08-01,248.86
2014-07-31,249.13
2014-07-30,254.40
2014-07-29,253.94
2014-07-28,255.09
2014-07-25,255.54
2014-07-24,257.22
2014-07-23,256.97
2014-07-22,257.13
2014-07-21,256.06
2014-07-18,256.91
2014-07-17,253.82
2014-07-16,256.53
2014-07-15,256.87
2014-07-14,257.76
2014-07-11,256.68
2014-07-10,256.95
2014-07-09,258.78
2014-07-08,258.13
2014-07-07,260.14
2014-07-03,262.14
2014-07-02,261.34
2014-07-01,262.60
2014-06-30,260.56
2014-06-27,259.45
2014-06-26,258.00
2014-06-25,258.55
2014-06-24,256.82
2014-06-23,258.89
2014-06-20,259.17
2014-06-19,259.11
2014-06-18,259.02
2014-06-17,257.73
2014-06-16,255.61
2014-06-13,255.55
2014-06-12,254.89
2014-06-11,256.20
2014-06-10,257.04
2014-06-09,257.77
2014-06-06,256.93
2014-06-05,255.49
2014-06-04,252.94
2014-06-03,251.78
2014-06-02,251.70
2014-05-30,250.88
2014-05-29,251.53
2014-05-28,250.11
2014-05-27,251.05
2014-05-23,249.39
2014-05-22,247.73
2014-05-21,246.22
2014-05-20,244.87
2014-05-19,247.47
2014-05-16,246.24
2014-05-15,244.93
2014-05-14,247.01
