Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,129.91,131.53,128.61,131.49,13976900,131.49
2015-03-17,128.55,129.11,128.28,129.00,6302900,129.00
2015-03-16,127.94,128.15,127.27,127.94,6346500,127.94
2015-03-13,126.76,127.59,126.49,126.72,7247200,126.72
2015-03-12,128.20,128.20,126.72,127.11,10295900,127.11
2015-03-11,126.26,127.46,126.12,127.20,6662400,127.20
2015-03-10,125.97,126.44,125.76,126.28,9277900,126.28
2015-03-09,124.68,124.87,124.13,124.64,8889100,124.64
2015-03-06,124.67,124.83,122.97,123.50,20022900,123.50
2015-03-05,126.53,126.88,125.90,126.29,6045000,126.29
2015-03-04,126.94,127.04,126.16,126.45,6478900,126.45
2015-03-03,126.89,127.37,126.38,126.41,8599000,126.41
2015-03-02,129.00,129.07,126.77,126.87,11324000,126.87
2015-02-27,129.02,129.62,128.27,129.53,9225100,129.28
2015-02-26,129.70,130.30,128.40,128.45,11020500,128.20
2015-02-25,129.46,130.39,129.08,130.23,8019800,129.98
2015-02-24,127.65,129.79,127.18,129.67,11958300,129.42
2015-02-23,127.19,128.17,127.16,127.99,7500500,127.74
2015-02-20,127.05,128.01,126.00,126.54,12502500,126.29
2015-02-19,126.78,127.45,126.17,126.17,8584800,125.92
2015-02-18,126.82,127.74,126.47,127.01,14009200,126.76
2015-02-17,127.80,127.93,125.92,126.26,14968800,126.01
2015-02-13,129.51,129.53,128.09,128.19,8325200,127.94
2015-02-12,129.66,130.54,129.45,129.52,12548300,129.27
2015-02-11,129.70,130.27,128.96,129.95,6506400,129.70
2015-02-10,130.14,130.47,129.44,129.71,8290700,129.46
2015-02-09,131.97,131.98,130.75,130.75,8025500,130.50
2015-02-06,132.05,132.35,130.59,130.96,13217900,130.71
2015-02-05,134.00,134.23,133.11,133.32,8334600,133.06
2015-02-04,133.49,134.99,133.12,134.80,11360400,134.54
2015-02-03,135.65,135.79,134.37,134.57,14008700,134.31
2015-02-02,136.70,137.92,136.66,137.48,13689900,137.21
