Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,83.54,86.37,83.43,86.07,18713900,86.07
2015-03-17,84.54,84.85,84.02,84.08,12957300,84.08
2015-03-16,83.71,84.86,83.27,84.76,13339900,84.76
2015-03-13,83.90,84.18,82.68,83.87,16799900,83.87
2015-03-12,84.43,84.72,84.06,84.22,10792900,84.22
2015-03-11,84.93,84.93,84.00,84.02,13004700,84.02
2015-03-10,84.82,85.53,84.24,84.26,17195500,84.26
2015-03-09,86.12,86.38,85.12,85.16,14503800,85.16
2015-03-06,86.41,86.60,85.32,85.63,16070500,85.63
2015-03-05,87.07,87.19,86.52,86.74,12527600,86.74
2015-03-04,87.96,87.96,86.93,87.18,13467600,87.18
2015-03-03,87.93,88.02,87.13,87.62,13493800,87.62
2015-03-02,88.34,88.52,87.35,88.04,13793700,88.04
2015-02-27,88.89,89.28,88.34,88.54,13090600,88.54
2015-02-26,89.13,89.18,88.08,88.65,13984000,88.65
2015-02-25,89.57,89.70,89.08,89.60,9925700,89.60
2015-02-24,89.33,89.78,89.13,89.42,9990700,89.42
2015-02-23,89.26,89.55,88.74,89.01,12771800,89.01
2015-02-20,89.40,89.94,88.85,89.92,15959900,89.92
2015-02-19,89.64,90.42,88.58,89.44,19350600,89.44
2015-02-18,91.99,91.99,90.39,91.01,19177900,91.01
2015-02-17,92.75,93.07,92.29,93.05,11758700,93.05
2015-02-13,92.70,93.45,92.28,93.37,12061000,93.37
2015-02-12,91.46,92.66,91.02,92.37,14843000,92.37
2015-02-11,90.02,90.83,89.79,90.60,12240600,90.60
2015-02-10,91.74,91.74,90.30,91.01,12952900,91.01
2015-02-09,91.40,92.29,91.24,91.56,11360700,91.56
2015-02-06,92.10,92.28,90.96,91.50,12185900,91.50
2015-02-05,92.39,92.54,91.70,92.36,12809000,91.67
2015-02-04,91.64,92.27,90.51,91.46,19632200,90.78
2015-02-03,90.90,92.33,90.81,92.25,21900900,91.56
2015-02-02,87.85,89.59,87.50,89.58,20306300,88.91
2015-01-30,87.16,88.42,86.25,87.42,22679900,86.77
2015-01-29,88.22,88.26,86.03,87.58,22683000,86.93
2015-01-28,90.88,90.93,87.82,87.95,17829700,87.29
2015-01-27,91.24,91.60,90.60,90.95,12301500,90.27
2015-01-26,90.61,91.94,90.47,91.76,10672500,91.07
2015-01-23,92.28,92.48,90.79,90.89,14706300,90.21
2015-01-22,92.31,92.97,91.32,92.87,13559000,92.18
2015-01-21,91.74,91.99,91.01,91.87,14276400,91.18
2015-01-20,91.14,91.78,90.38,91.09,16761000,90.41
2015-01-16,88.98,91.19,88.98,91.12,17713100,90.44
2015-01-15,89.74,90.66,88.51,88.96,18759600,88.30
2015-01-14,88.95,89.89,87.26,89.74,23272100,89.07
2015-01-13,90.88,91.43,89.11,90.00,17469000,89.33
2015-01-12,91.24,91.34,89.82,90.33,15176300,89.66
2015-01-09,92.30,92.78,91.37,92.10,14488400,91.41
2015-01-08,91.25,92.27,91.00,92.23,15487500,91.54
2015-01-07,90.65,91.48,90.00,90.72,13590700,90.04
2015-01-06,90.24,91.41,89.02,89.81,16670700,89.14
2015-01-05,92.10,92.40,89.50,90.29,18502400,89.62
2015-01-02,92.25,93.05,91.81,92.83,10220400,92.14
2014-12-31,92.42,93.13,92.06,92.45,11337200,91.76
2014-12-30,92.77,93.39,92.51,93.02,8743400,92.33
