Date,Close
2015-03-18,86.07
2015-03-17,84.08
2015-03-16,84.76
2015-03-13,83.87
2015-03-12,84.22
2015-03-11,84.02
2015-03-10,84.26
2015-03-09,85.16
2015-03-06,85.63
2015-03-05,86.74
2015-03-04,87.18
2015-03-03,87.62
2015-03-02,88.04
2015-02-27,88.54
2015-02-26,88.65
2015-02-25,89.60
2015-02-24,89.42
2015-02-23,89.01
2015-02-20,89.92
2015-02-19,89.44
2015-02-18,91.01
2015-02-17,93.05
2015-02-13,93.37
2015-02-12,92.37
2015-02-11,90.60
2015-02-10,91.01
2015-02-09,91.56
2015-02-06,91.50
2015-02-05,92.36
2015-02-04,91.46
2015-02-03,92.25
2015-02-02,89.58
2015-01-30,87.42
2015-01-29,87.58
2015-01-28,87.95
2015-01-27,90.95
2015-01-26,91.76
2015-01-23,90.89
2015-01-22,92.87
2015-01-21,91.87
2015-01-20,91.09
2015-01-16,91.12
2015-01-15,88.96
2015-01-14,89.74
2015-01-13,90.00
2015-01-12,90.33
2015-01-09,92.10
2015-01-08,92.23
2015-01-07,90.72
2015-01-06,89.81
2015-01-05,90.29
2015-01-02,92.83
2014-12-31,92.45
2014-12-30,93.02
2014-12-29,93.07
2014-12-26,93.21
2014-12-24,93.78
2014-12-23,94.59
2014-12-22,93.33
2014-12-19,93.64
2014-12-18,91.16
2014-12-17,89.02
2014-12-16,86.41
2014-12-15,86.90
2014-12-12,86.60
2014-12-11,89.20
2014-12-10,88.67
2014-12-09,91.38
2014-12-08,91.70
2014-12-05,93.82
2014-12-04,94.37
2014-12-03,94.95
2014-12-02,94.19
2014-12-01,92.35
2014-11-28,90.54
2014-11-26,94.48
2014-11-25,94.78
2014-11-24,95.72
2014-11-21,96.81
2014-11-20,95.82
2014-11-19,95.61
2014-11-18,94.87
2014-11-17,95.11
2014-11-14,95.09
2014-11-13,94.66
2014-11-12,95.38
2014-11-11,96.41
2014-11-10,96.28
2014-11-07,96.59
2014-11-06,96.26
2014-11-05,95.07
2014-11-04,94.52
2014-11-03,95.26
2014-10-31,96.71
2014-10-30,94.45
2014-10-29,94.59
2014-10-28,95.10
2014-10-27,93.71
2014-10-24,94.49
2014-10-23,94.11
2014-10-22,93.13
2014-10-21,93.65
2014-10-20,91.77
2014-10-17,91.21
2014-10-16,90.60
2014-10-15,90.22
2014-10-14,90.55
2014-10-13,90.84
2014-10-10,91.60
2014-10-09,91.82
2014-10-08,94.61
2014-10-07,93.37
2014-10-06,94.52
2014-10-03,93.92
2014-10-02,93.30
2014-10-01,92.86
2014-09-30,94.05
2014-09-29,94.43
2014-09-26,95.43
2014-09-25,94.25
2014-09-24,95.82
2014-09-23,96.03
2014-09-22,96.54
2014-09-19,97.12
2014-09-18,96.61
2014-09-17,97.08
2014-09-16,97.43
2014-09-15,96.29
2014-09-12,95.78
2014-09-11,97.03
2014-09-10,96.81
2014-09-09,97.39
2014-09-08,97.77
2014-09-05,99.26
2014-09-04,98.36
2014-09-03,99.11
2014-09-02,98.49
2014-08-29,99.46
2014-08-28,99.57
2014-08-27,99.53
2014-08-26,99.64
2014-08-25,98.75
2014-08-22,98.50
2014-08-21,99.28
2014-08-20,99.70
2014-08-19,99.49
2014-08-18,99.52
2014-08-15,99.03
2014-08-14,99.09
2014-08-13,99.09
2014-08-12,98.49
2014-08-11,98.73
2014-08-08,99.74
2014-08-07,98.27
2014-08-06,98.98
2014-08-05,98.20
2014-08-04,100.13
2014-08-01,98.80
2014-07-31,98.94
2014-07-30,103.25
2014-07-29,103.55
2014-07-28,104.37
2014-07-25,103.18
2014-07-24,104.28
2014-07-23,104.25
2014-07-22,103.54
2014-07-21,103.08
2014-07-18,102.73
2014-07-17,102.31
2014-07-16,103.77
2014-07-15,102.39
2014-07-14,102.68
2014-07-11,101.74
2014-07-10,102.57
2014-07-09,103.55
2014-07-08,102.83
2014-07-07,102.65
2014-07-03,102.59
2014-07-02,101.57
2014-07-01,101.36
2014-06-30,100.68
2014-06-27,101.21
2014-06-26,102.03
2014-06-25,102.14
2014-06-24,102.73
2014-06-23,104.38
2014-06-20,103.83
2014-06-19,102.63
2014-06-18,102.73
2014-06-17,102.42
2014-06-16,102.92
2014-06-13,102.65
2014-06-12,101.66
2014-06-11,101.95
2014-06-10,101.46
2014-06-09,101.52
2014-06-06,101.60
2014-06-05,100.55
2014-06-04,100.04
2014-06-03,100.39
2014-06-02,99.94
2014-05-30,100.53
2014-05-29,101.27
2014-05-28,101.06
2014-05-27,101.36
2014-05-23,101.32
2014-05-22,101.50
2014-05-21,102.03
2014-05-20,100.67
