cdate,cp,pctlead,pctlag1,pctlag2,pctlag4,pctlag8
2015-03-18,112.370,0.000,1.960,1.408,1.490,0.456
2015-03-17,110.210,1.960,-0.541,-0.604,-0.488,-4.165
2015-03-16,110.810,-0.541,-0.063,0.081,-0.547,-3.736
2015-03-13,110.880,-0.063,0.145,0.117,-0.973,-3.975
2015-03-12,110.720,0.145,-0.027,-0.628,-1.019,-4.288
2015-03-11,110.750,-0.027,-0.601,-1.090,-3.696,-4.657
2015-03-10,111.420,-0.601,-0.491,-0.393,-3.206,-4.006
2015-03-09,111.970,-0.491,0.098,-2.635,-3.031,-3.224
2015-03-06,111.860,0.098,-2.730,-2.823,-3.302,-2.950
2015-03-05,115.000,-2.730,-0.096,-0.407,-0.999,-0.373
2015-03-04,115.110,-0.096,-0.312,-0.493,-0.827,-0.147
2015-03-03,115.470,-0.312,-0.182,-0.594,-0.199,-0.405
2015-03-02,115.680,-0.182,-0.413,-0.336,0.364,-0.567
2015-02-27,116.160,-0.413,0.078,0.398,0.632,0.129
2015-02-26,116.070,0.078,0.320,0.703,0.685,-1.619
2015-02-25,115.700,0.320,0.382,0.234,-0.207,-1.398
2015-02-24,115.260,0.382,-0.147,-0.017,-0.928,-1.546
2015-02-23,115.430,-0.147,0.130,-0.440,-0.500,-2.566
2015-02-20,115.280,0.130,-0.569,-0.911,-2.289,-3.264
2015-02-19,115.940,-0.569,-0.344,-0.060,-1.193,-2.276
2015-02-18,116.340,-0.344,0.284,-1.390,-0.624,-4.475
2015-02-17,116.010,0.284,-1.670,-1.133,-2.076,-4.581
2015-02-13,117.980,-1.670,0.545,0.777,-0.999,-2.536
2015-02-12,117.340,0.545,0.231,-0.954,-1.096,-4.150
2015-02-11,117.070,0.231,-1.182,-1.762,-3.876,-5.168
2015-02-10,118.470,-1.182,-0.587,-0.143,-2.558,-1.896
2015-02-09,119.170,-0.587,0.447,-2.151,-1.553,-3.444
2015-02-06,118.640,0.447,-2.586,-2.418,-3.088,-4.630
2015-02-05,121.790,-2.586,0.173,0.611,-1.345,-0.976
2015-02-04,121.580,0.173,0.438,-0.686,0.679,-2.133
2015-02-03,121.050,0.438,-1.119,-1.944,-1.920,-3.338
2015-02-02,122.420,-1.119,-0.834,1.375,-1.592,-1.457
2015-01-30,123.450,-0.834,2.228,0.024,0.374,-0.604
2015-01-29,120.760,2.228,-2.155,-2.926,-2.793,-1.437
2015-01-28,123.420,-2.155,-0.788,0.350,-1.445,2.051
2015-01-27,124.400,-0.788,1.146,0.137,0.137,5.451
2015-01-26,122.990,1.146,-0.998,-1.789,-0.974,4.088
2015-01-23,124.230,-0.998,-0.799,0.000,1.396,4.782
2015-01-22,125.230,-0.799,0.805,0.829,3.547,6.797
2015-01-21,124.230,0.805,0.024,1.396,5.306,7.150
2015-01-20,124.200,0.024,1.371,2.696,5.112,6.674
2015-01-16,122.520,1.371,1.306,3.857,3.340,4.611
2015-01-15,120.940,1.306,2.518,2.353,3.138,4.439
2015-01-14,117.970,2.518,-0.161,-0.498,1.751,3.410
2015-01-13,118.160,-0.161,-0.337,0.768,1.486,4.032
2015-01-12,118.560,-0.337,1.109,2.260,1.230,2.917
2015-01-09,117.260,1.109,1.139,0.713,1.261,3.158
2015-01-08,115.940,1.139,-0.421,-1.008,1.630,0.967
2015-01-07,116.430,-0.421,-0.589,0.544,2.509,3.246
2015-01-06,117.120,-0.589,1.140,2.665,1.667,3.885
2015-01-05,115.800,1.140,1.508,1.955,1.874,2.888
2015-01-02,114.080,1.508,0.440,-0.972,-0.653,-0.601
2014-12-31,113.580,0.440,-1.406,-0.079,0.718,-1.363
2014-12-30,115.200,-1.406,1.346,0.322,2.182,0.814
2014-12-29,113.670,1.346,-1.010,0.798,0.995,-1.114
2014-12-26,114.830,-1.010,1.827,1.854,0.052,0.385
2014-12-24,112.770,1.827,0.027,0.195,-2.067,-3.952
2014-12-23,112.740,0.027,0.169,-1.769,-1.339,-4.206
2014-12-22,112.550,0.169,-1.934,-2.258,-2.088,-4.586
2014-12-19,114.770,-1.934,-0.330,0.438,0.332,-2.894
2014-12-18,115.150,-0.330,0.770,0.174,-1.925,-0.544
2014-12-17,114.270,0.770,-0.592,-0.105,-2.906,-0.140
2014-12-16,114.950,-0.592,0.490,-2.095,-2.552,-0.803
2014-12-15,114.390,0.490,-2.572,-2.804,-3.215,-1.668
2014-12-12,117.410,-2.572,-0.238,-0.466,1.408,1.972
2014-12-11,117.690,-0.238,-0.229,-0.423,2.849,0.952
2014-12-10,117.960,-0.229,-0.195,1.883,1.795,5.218
2014-12-09,118.190,-0.195,2.082,3.286,1.599,2.631
2014-12-08,115.780,2.082,1.180,-0.086,0.556,0.347
2014-12-05,114.430,1.180,-1.251,-1.633,-1.844,-0.591
2014-12-04,115.880,-1.251,-0.387,0.643,3.363,0.425
2014-12-03,116.330,-0.387,1.034,-0.214,1.016,1.280
2014-12-02,115.140,1.034,-1.235,2.703,-0.208,1.284
2014-12-01,116.580,-1.235,3.987,1.233,1.277,1.330
2014-11-28,112.110,3.987,-2.648,-2.834,-2.843,-1.701
2014-11-26,115.160,-2.648,-0.191,0.043,0.261,0.603
2014-11-25,115.380,-0.191,0.235,-0.009,1.495,3.322
2014-11-24,115.110,0.235,-0.243,0.218,0.052,3.238
2014-11-21,115.390,-0.243,0.461,1.504,1.175,2.990
2014-11-20,114.860,0.461,1.038,-0.165,0.341,3.983
2014-11-19,113.680,1.038,-1.191,-0.324,1.800,0.628
2014-11-18,115.050,-1.191,0.877,0.507,3.184,4.705
2014-11-17,114.050,0.877,-0.367,2.131,1.794,3.880
2014-11-14,114.470,-0.367,2.507,2.664,3.630,2.005
2014-11-13,111.670,2.507,0.152,-0.330,-1.151,-0.428
2014-11-12,111.500,0.152,-0.482,0.942,1.474,-1.030
2014-11-11,112.040,-0.482,1.430,-0.823,2.049,-2.735
2014-11-10,110.460,1.430,-2.222,0.528,-1.568,-5.111
2014-11-07,112.970,-2.222,2.812,2.896,0.731,-4.344
2014-11-06,109.880,2.812,0.082,-2.085,-2.468,-6.929
2014-11-05,109.790,0.082,-2.165,-2.104,-4.688,-7.233
2014-11-04,112.220,-2.165,0.062,-0.391,-3.599,-5.316
2014-11-03,112.150,0.062,-0.453,-2.639,-5.038,-6.025
2014-10-31,112.660,-0.453,-2.196,-3.221,-4.574,-6.132
2014-10-30,115.190,-2.196,-1.048,-2.464,-2.670,-3.848
2014-10-29,116.410,-1.048,-1.431,-1.398,-1.780,-2.168
2014-10-28,118.100,-1.431,0.034,-0.211,-1.039,-0.939
2014-10-27,118.060,0.034,-0.245,-0.388,-1.633,-0.782
2014-10-24,118.350,-0.245,-0.143,-0.830,-1.210,-0.202
2014-10-23,118.520,-0.143,-0.687,-1.250,-0.395,0.000
2014-10-22,119.340,-0.687,-0.567,-0.384,0.101,1.488
2014-10-21,120.020,-0.567,0.184,0.866,0.866,2.023
2014-10-20,119.800,0.184,0.681,0.486,1.020,1.983
2014-10-17,118.990,0.681,-0.193,0.000,0.397,2.260
2014-10-16,119.220,-0.193,0.193,0.531,1.386,2.749
2014-10-15,118.990,0.193,0.337,0.397,1.148,3.822
2014-10-14,118.590,0.337,0.059,0.850,0.953,1.585
2014-10-13,118.520,0.059,0.791,0.748,1.856,1.499
2014-10-10,117.590,0.791,-0.043,0.102,1.344,1.188
2014-10-09,117.640,-0.043,0.145,1.100,2.644,0.521
2014-10-08,117.470,0.145,0.954,1.241,0.625,0.350
2014-10-07,116.360,0.954,0.284,1.527,-0.351,-0.877
2014-10-06,116.030,0.284,1.239,-0.608,-0.155,-0.871
2014-10-03,114.610,1.239,-1.825,-1.850,-2.068,-2.543
2014-10-02,116.740,-1.825,-0.026,0.456,-0.273,-0.094
2014-10-01,116.770,-0.026,0.482,-0.222,-0.528,-0.273
2014-09-30,116.210,0.482,-0.701,-0.726,-0.718,-1.333
2014-09-29,117.030,-0.701,-0.026,-0.307,-0.485,-0.434
2014-09-26,117.060,-0.026,-0.281,0.009,0.180,-1.490
2014-09-25,117.390,-0.281,0.290,-0.179,0.256,-1.054
2014-09-24,117.050,0.290,-0.468,0.171,-0.620,-1.124
2014-09-23,117.600,-0.468,0.642,0.436,0.051,-1.565
2014-09-22,116.850,0.642,-0.205,-0.790,-1.666,-2.836
2014-09-19,117.090,-0.205,-0.586,-0.383,-1.306,-3.127
2014-09-18,117.780,-0.586,0.204,-0.884,-0.507,-2.443
2014-09-17,117.540,0.204,-1.086,-0.927,-1.615,-3.703
2014-09-16,118.830,-1.086,0.160,0.380,-1.189,-2.181
2014-09-15,118.640,0.160,0.220,-0.695,-1.845,-2.874
2014-09-12,118.380,0.220,-0.912,-1.563,-1.946,-2.688
2014-09-11,119.470,-0.912,-0.657,-1.158,-2.122,-3.544
2014-09-10,120.260,-0.657,-0.505,-0.389,-1.004,-3.016
2014-09-09,120.870,-0.505,0.116,-0.975,-1.048,-1.987
2014-09-08,120.730,0.116,-1.090,-0.617,-0.756,-2.124
2014-09-05,122.060,-1.090,0.477,-0.074,-1.453,-0.554
2014-09-04,121.480,0.477,-0.549,-0.140,-2.032,-1.388
2014-09-03,122.150,-0.549,0.411,-1.381,-0.949,-0.594
2014-09-02,121.650,0.411,-1.784,-1.895,-1.378,-2.069
2014-08-29,123.860,-1.784,-0.113,0.438,0.912,-0.658
2014-08-28,124.000,-0.113,0.551,0.527,0.658,-0.768
2014-08-27,123.320,0.551,-0.024,0.473,0.358,-1.721
2014-08-26,123.350,-0.024,0.497,0.130,-0.700,-2.343
2014-08-25,122.740,0.497,-0.365,-0.114,-1.556,-2.742
2014-08-22,123.190,-0.365,0.252,-0.829,-1.416,-2.222
2014-08-21,122.880,0.252,-1.079,-1.444,-2.072,-2.445
2014-08-20,124.220,-1.079,-0.369,-0.592,-1.655,-1.561
2014-08-19,124.680,-0.369,-0.224,-0.638,-1.204,-1.189
2014-08-18,124.960,-0.224,-0.414,-1.069,-0.818,-0.565
2014-08-15,125.480,-0.414,-0.657,-0.571,-0.381,1.300
2014-08-14,126.310,-0.657,0.087,0.254,0.095,1.871
2014-08-13,126.200,0.087,0.167,0.191,0.016,1.463
2014-08-12,125.990,0.167,0.024,-0.158,0.255,2.107
2014-08-11,125.960,0.024,-0.182,-0.174,1.687,0.905
2014-08-08,126.190,-0.182,0.008,0.414,1.774,0.791
2014-08-07,126.180,0.008,0.406,1.865,1.447,0.478
2014-08-06,125.670,0.406,1.453,1.355,1.848,-0.095
2014-08-05,123.870,1.453,-0.097,-0.410,-0.769,-0.386
2014-08-04,123.990,-0.097,-0.314,0.486,-0.966,-1.298
2014-08-01,124.380,-0.314,0.802,-0.360,-0.956,-1.082
2014-07-31,123.390,0.802,-1.154,-1.446,-1.908,-2.335
2014-07-30,124.830,-1.154,-0.296,-0.597,0.386,-1.031
2014-07-29,125.200,-0.296,-0.303,-0.469,-0.334,-1.487
2014-07-28,125.580,-0.303,-0.167,0.989,-0.127,0.488
2014-07-25,125.790,-0.167,1.158,0.135,-0.435,1.012
2014-07-24,124.350,1.158,-1.011,-1.105,-1.411,-1.090
2014-07-23,125.620,-1.011,-0.095,-0.570,-1.157,-2.454
2014-07-22,125.740,-0.095,-0.475,-0.309,0.616,-2.178
2014-07-21,126.340,-0.475,0.166,-0.590,1.453,-1.173
2014-07-18,126.130,0.166,-0.755,0.928,0.326,-0.740
2014-07-17,127.090,-0.755,1.696,2.056,-1.312,0.055
2014-07-16,124.970,1.696,0.353,-0.597,-2.777,-1.722
2014-07-15,124.530,0.353,-0.947,-3.300,-2.589,-2.482
2014-07-14,125.720,-0.947,-2.376,-2.194,-1.062,-1.551
2014-07-11,128.780,-2.376,0.187,0.735,1.386,0.578
2014-07-10,128.540,0.187,0.548,1.157,1.085,1.484
2014-07-09,127.840,0.548,0.606,0.646,0.110,0.876
2014-07-08,127.070,0.606,0.039,-0.071,-0.493,0.063
2014-07-07,127.020,0.039,-0.110,-0.532,-0.797,0.032
2014-07-03,127.160,-0.110,-0.423,-0.423,0.395,0.244
2014-07-02,127.700,-0.423,0.000,-0.266,0.765,0.949
2014-07-01,127.700,0.000,-0.266,0.821,0.559,0.599
2014-06-30,128.040,-0.266,1.090,1.034,0.835,4.378
2014-06-27,126.660,1.090,-0.055,-0.260,-0.150,3.582
2014-06-26,126.730,-0.055,-0.205,-0.197,0.182,3.521
2014-06-25,126.990,-0.205,0.008,0.110,0.039,3.277
2014-06-24,126.980,0.008,0.102,0.379,3.513,3.539
2014-06-23,126.850,0.102,0.277,-0.071,3.737,4.481
2014-06-20,126.500,0.277,-0.347,3.122,3.333,4.210
2014-06-19,126.940,-0.347,3.481,3.811,3.237,5.213
2014-06-18,122.670,3.481,0.319,0.204,0.024,1.708
2014-06-17,122.280,0.319,-0.114,-0.553,0.717,1.343
2014-06-16,122.420,-0.114,-0.439,-0.179,0.849,2.221
2014-06-13,122.960,-0.439,0.261,1.277,1.915,2.458
2014-06-12,122.640,0.261,1.013,1.030,1.683,2.456
2014-06-11,121.410,1.013,0.016,0.630,0.622,0.814
2014-06-10,121.390,0.016,0.613,0.647,1.361,0.372
2014-06-09,120.650,0.613,0.033,-0.008,0.533,-0.454
2014-06-06,120.610,0.033,-0.041,0.710,0.760,-1.018
2014-06-05,120.660,-0.041,0.752,0.542,0.191,-3.092
2014-06-04,119.760,0.752,-0.208,0.050,-0.976,-3.938
