cdate,cp,pctlead,pctlag1,pctlag2,pctlag4,pctlag8
2015-03-18,131.490,0.000,1.930,2.775,3.446,6.470
2015-03-17,129.000,1.930,0.829,1.799,1.415,2.146
2015-03-16,127.940,0.829,0.963,0.653,1.315,1.178
2015-03-13,126.720,0.963,-0.307,-0.377,1.669,0.245
2015-03-12,127.110,-0.307,-0.071,0.657,2.923,0.189
2015-03-11,127.200,-0.071,0.729,2.054,0.721,-1.799
2015-03-10,126.280,0.729,1.316,2.251,-0.134,-1.689
2015-03-09,124.640,1.316,0.923,-1.307,-1.400,-4.292
2015-03-06,123.500,0.923,-2.209,-2.333,-2.656,-4.758
2015-03-05,126.290,-2.209,-0.127,-0.095,-2.501,-1.328
2015-03-04,126.450,-0.127,0.032,-0.331,-1.557,-0.071
2015-03-03,126.410,0.032,-0.363,-2.409,-2.933,0.190
2015-03-02,126.870,-0.363,-2.054,-1.230,-2.159,-0.110
2015-02-27,129.530,-2.054,0.841,-0.538,1.203,2.590
2015-02-26,128.450,0.841,-1.367,-0.941,1.509,0.203
2015-02-25,130.230,-1.367,0.432,1.750,3.218,0.548
2015-02-24,129.670,0.432,1.313,2.474,2.094,-0.215
2015-02-23,127.990,1.313,1.146,1.442,1.370,-1.326
2015-02-20,126.540,1.146,0.293,-0.370,-1.287,-3.220
2015-02-19,126.170,0.293,-0.661,-0.071,-2.586,-3.658
2015-02-18,127.010,-0.661,0.594,-0.921,-2.262,-4.733
2015-02-17,126.260,0.594,-1.506,-2.517,-2.660,-6.335
2015-02-13,128.190,-1.506,-1.027,-1.354,-1.958,-4.741
2015-02-12,129.520,-1.027,-0.331,-0.146,-1.100,-5.790
2015-02-11,129.950,-0.331,0.185,-0.612,-2.528,-6.024
2015-02-10,129.710,0.185,-0.795,-0.954,-3.776,-4.534
2015-02-09,130.750,-0.795,-0.160,-1.928,-2.839,-4.402
2015-02-06,130.960,-0.160,-1.770,-2.849,-4.743,-2.683
2015-02-05,133.320,-1.770,-1.098,-0.929,-3.587,-0.774
2015-02-04,134.800,-1.098,0.171,-1.949,-0.788,0.022
2015-02-03,134.570,0.171,-2.117,-2.683,-1.609,1.241
2015-02-02,137.480,-2.117,-0.579,1.185,2.162,3.058
2015-01-30,138.280,-0.579,1.774,1.104,2.918,2.460
2015-01-29,135.870,1.774,-0.658,0.966,0.816,2.012
2015-01-28,136.770,-0.658,1.635,1.794,2.896,1.379
2015-01-27,134.570,1.635,0.156,-0.148,0.877,1.318
2015-01-26,134.360,0.156,-0.304,1.083,-0.445,1.927
2015-01-23,134.770,-0.304,1.392,1.027,1.186,2.238
2015-01-22,132.920,1.392,-0.360,-1.512,-1.475,1.411
2015-01-21,133.400,-0.360,-1.156,0.158,0.437,2.892
2015-01-20,134.960,-1.156,1.329,0.037,2.382,2.717
2015-01-16,133.190,1.329,-1.275,0.279,1.039,1.170
2015-01-15,134.910,-1.275,1.574,2.344,2.930,4.323
2015-01-14,132.820,1.574,0.759,0.759,2.445,4.320
2015-01-13,131.820,0.759,0.000,0.572,0.327,4.686
2015-01-12,131.820,0.000,0.572,1.674,0.129,4.885
2015-01-09,131.070,0.572,1.095,-0.244,1.353,4.572
2015-01-08,129.650,1.095,-1.324,-1.519,1.830,4.212
2015-01-07,131.390,-1.324,-0.197,1.601,4.344,6.002
2015-01-06,131.650,-0.197,1.802,3.401,4.750,6.565
2015-01-05,129.320,1.802,1.571,2.700,3.175,2.602
2015-01-02,127.320,1.571,1.112,1.305,2.339,1.152
2014-12-31,125.920,1.112,0.191,0.463,1.589,1.385
2014-12-30,125.680,0.191,0.271,1.021,1.732,-0.609
2014-12-29,125.340,0.271,0.748,1.121,-0.555,-1.771
2014-12-26,124.410,0.748,0.371,0.704,-1.160,-1.293
2014-12-24,123.950,0.371,0.332,-1.658,-0.201,-1.861
2014-12-23,123.540,0.332,-1.983,-1.851,-2.301,-0.859
2014-12-22,126.040,-1.983,0.135,1.481,-1.223,1.563
2014-12-19,125.870,0.135,1.345,-0.459,-0.135,2.167
2014-12-18,124.200,1.345,-1.779,-2.665,-1.663,1.330
2014-12-17,126.450,-1.779,-0.901,0.325,1.477,4.426
2014-12-16,127.600,-0.901,1.238,1.029,2.820,4.762
2014-12-15,126.040,1.238,-0.206,1.148,2.305,4.346
2014-12-12,126.300,-0.206,1.356,1.773,3.043,4.970
2014-12-11,124.610,1.356,0.411,1.144,2.907,2.560
2014-12-10,124.100,0.411,0.731,1.248,1.888,1.314
2014-12-09,123.200,0.731,0.514,1.743,1.995,1.374
2014-12-08,122.570,0.514,1.222,0.632,1.870,1.130
2014-12-05,121.090,1.222,-0.583,0.248,-0.337,0.740
2014-12-04,121.800,-0.583,0.836,1.230,-0.563,1.415
2014-12-03,120.790,0.836,0.391,-0.584,-0.609,1.181
2014-12-02,120.320,0.391,-0.971,-1.772,-0.726,1.314
2014-12-01,121.500,-0.971,-0.808,-0.025,1.082,1.657
2014-11-28,122.490,-0.808,0.790,1.064,1.990,2.769
2014-11-26,121.530,0.790,0.272,1.106,1.801,1.707
2014-11-25,121.200,0.272,0.832,0.916,2.055,1.926
2014-11-24,120.200,0.832,0.083,0.687,0.569,1.323
2014-11-21,120.100,0.083,0.603,1.128,0.763,1.154
2014-11-20,119.380,0.603,0.522,-0.117,-0.092,0.615
2014-11-19,118.760,0.522,-0.636,-0.361,-0.126,-0.827
