cdate,cp,pctlead,pctlag1,pctlag2,pctlag4,pctlag8
2015-03-18,86.070,0.000,2.367,1.546,2.197,0.514
2015-03-17,84.080,2.367,-0.802,0.250,0.071,-3.067
2015-03-16,84.760,-0.802,1.061,0.641,0.593,-2.776
2015-03-13,83.870,1.061,-0.416,-0.179,-1.515,-4.280
2015-03-12,84.220,-0.416,0.238,-0.047,-1.647,-4.339
2015-03-11,84.020,0.238,-0.285,-1.339,-3.136,-5.105
2015-03-10,84.260,-0.285,-1.057,-1.600,-3.349,-4.952
2015-03-09,85.160,-1.057,-0.549,-1.822,-2.808,-4.955
2015-03-06,85.630,-0.549,-1.280,-1.778,-2.737,-4.238
2015-03-05,86.740,-1.280,-0.505,-1.004,-2.033,-2.550
2015-03-04,87.180,-0.505,-0.502,-0.977,-1.658,-3.047
2015-03-03,87.620,-0.502,-0.477,-1.039,-2.210,-2.035
2015-03-02,88.040,-0.477,-0.565,-0.688,-1.543,-3.263
2015-02-27,88.540,-0.565,-0.124,-1.183,-0.528,-4.847
2015-02-26,88.650,-0.124,-1.060,-0.861,-1.412,-5.055
2015-02-25,89.600,-1.060,0.201,0.663,0.179,-2.999
2015-02-24,89.420,0.201,0.461,-0.556,-1.747,-1.302
2015-02-23,89.010,0.461,-1.012,-0.481,-4.342,-2.198
2015-02-20,89.920,-1.012,0.537,-1.198,-3.695,-1.791
2015-02-19,89.440,0.537,-1.725,-3.880,-3.172,-2.251
2015-02-18,91.010,-1.725,-2.192,-2.528,0.453,-1.462
2015-02-17,93.050,-2.192,-0.343,0.736,2.242,1.738
2015-02-13,93.370,-0.343,1.083,3.057,1.977,1.214
2015-02-12,92.370,1.083,1.954,1.494,0.951,3.115
2015-02-11,90.600,1.954,-0.450,-1.048,-1.906,3.638
2015-02-10,91.010,-0.450,-0.601,-0.536,-0.492,3.916
2015-02-09,91.560,-0.601,0.066,-0.866,-0.748,4.105
2015-02-06,91.500,0.066,-0.931,0.044,2.143,0.605
2015-02-05,92.360,-0.931,0.984,0.119,5.651,0.654
2015-02-04,91.460,0.984,-0.856,2.099,4.430,0.627
2015-02-03,92.250,-0.856,2.981,5.525,4.889,-0.668
2015-02-02,89.580,2.981,2.471,2.284,-1.506,-2.493
2015-01-30,87.420,2.471,-0.183,-0.603,-4.730,-4.029
2015-01-29,87.580,-0.183,-0.421,-3.705,-3.642,-3.885
